变压器资产ID,产生时间（yyyy-MM-dd HH:mm:ss）,油位
500KV-BYQ-003,2024-06-05 00:00:00,421.7
500KV-BYQ-001,2024-06-05 06:00:00,440.6
500KV-BYQ-002,2024-06-05 06:00:00,466.0
500KV-BYQ-003,2024-06-05 06:00:00,417.1
500KV-BYQ-001,2024-06-05 12:00:00,443.0
500KV-BYQ-002,2024-06-05 12:00:00,464.9
500KV-BYQ-003,2024-06-05 12:00:00,415.5
500KV-BYQ-001,2024-06-05 18:00:00,443.4
500KV-BYQ-002,2024-06-05 18:00:00,466.3
500KV-BYQ-003,2024-06-05 18:00:00,411.6
500KV-BYQ-001,2024-06-06 00:00:00,438.5
500KV-BYQ-002,2024-06-06 00:00:00,462.5
500KV-BYQ-003,2024-06-06 00:00:00,408.0
500KV-BYQ-001,2024-06-06 06:00:00,439.3
500KV-BYQ-002,2024-06-06 06:00:00,464.1
500KV-BYQ-003,2024-06-06 06:00:00,405.0
500KV-BYQ-001,2024-06-06 12:00:00,438.7
500KV-BYQ-002,2024-06-06 12:00:00,466.2
500KV-BYQ-003,2024-06-06 12:00:00,400.1
500KV-BYQ-001,2024-06-06 18:00:00,442.0
500KV-BYQ-002,2024-06-06 18:00:00,464.0
500KV-BYQ-003,2024-06-06 18:00:00,396.8
500KV-BYQ-001,2024-06-07 00:00:00,442.4
500KV-BYQ-002,2024-06-07 00:00:00,465.0
500KV-BYQ-003,2024-06-07 00:00:00,401.3
500KV-BYQ-001,2024-06-07 06:00:00,442.7
500KV-BYQ-002,2024-06-07 06:00:00,468.1
500KV-BYQ-003,2024-06-07 06:00:00,402.0
500KV-BYQ-001,2024-06-07 12:00:00,438.2
500KV-BYQ-002,2024-06-07 12:00:00,463.2
500KV-BYQ-003,2024-06-07 12:00:00,397.0
500KV-BYQ-001,2024-06-07 18:00:00,442.7
500KV-BYQ-002,2024-06-07 18:00:00,458.8
500KV-BYQ-003,2024-06-07 18:00:00,398.7
500KV-BYQ-001,2024-06-08 00:00:00,440.3
500KV-BYQ-002,2024-06-08 00:00:00,454.2
500KV-BYQ-003,2024-06-08 00:00:00,394.1
500KV-BYQ-001,2024-06-08 06:00:00,438.7
500KV-BYQ-002,2024-06-08 06:00:00,450.6
500KV-BYQ-003,2024-06-08 06:00:00,398.4
500KV-BYQ-001,2024-06-08 12:00:00,443.2
500KV-BYQ-002,2024-06-08 12:00:00,446.2
500KV-BYQ-003,2024-06-08 12:00:00,394.2
500KV-BYQ-001,2024-06-08 18:00:00,439.5
500KV-BYQ-002,2024-06-08 18:00:00,449.6
500KV-BYQ-003,2024-06-08 18:00:00,398.5
500KV-BYQ-001,2024-06-09 00:00:00,441.9
500KV-BYQ-002,2024-06-09 00:00:00,445.8
500KV-BYQ-003,2024-06-09 00:00:00,402.6
500KV-BYQ-001,2024-06-09 06:00:00,442.9
500KV-BYQ-002,2024-06-09 06:00:00,444.3
500KV-BYQ-003,2024-06-09 06:00:00,399.6
500KV-BYQ-001,2024-06-09 12:00:00,447.0
500KV-BYQ-002,2024-06-09 12:00:00,447.3
500KV-BYQ-003,2024-06-09 12:00:00,402.8
500KV-BYQ-001,2024-06-09 18:00:00,450.4
500KV-BYQ-002,2024-06-09 18:00:00,444.4
500KV-BYQ-003,2024-06-09 18:00:00,407.4
500KV-BYQ-001,2024-06-10 00:00:00,455.4
500KV-BYQ-002,2024-06-10 00:00:00,441.1
500KV-BYQ-003,2024-06-10 00:00:00,410.5
500KV-BYQ-001,2024-06-10 06:00:00,454.7
500KV-BYQ-002,2024-06-10 06:00:00,442.6
500KV-BYQ-003,2024-06-10 06:00:00,412.6
500KV-BYQ-001,2024-06-10 12:00:00,453.9
500KV-BYQ-002,2024-06-10 12:00:00,445.7
500KV-BYQ-003,2024-06-10 12:00:00,409.6
500KV-BYQ-001,2024-06-10 18:00:00,455.2
500KV-BYQ-002,2024-06-10 18:00:00,442.5
500KV-BYQ-003,2024-06-10 18:00:00,410.5
500KV-BYQ-001,2024-06-11 00:00:00,454.9
500KV-BYQ-002,2024-06-11 00:00:00,445.4
500KV-BYQ-003,2024-06-11 00:00:00,410.7
500KV-BYQ-001,2024-06-11 06:00:00,455.4
500KV-BYQ-002,2024-06-11 06:00:00,447.2
500KV-BYQ-003,2024-06-11 06:00:00,410.4
500KV-BYQ-001,2024-06-11 12:00:00,450.9
500KV-BYQ-002,2024-06-11 12:00:00,442.7
500KV-BYQ-003,2024-06-11 12:00:00,405.9
500KV-BYQ-001,2024-06-11 18:00:00,450.9
500KV-BYQ-002,2024-06-11 18:00:00,446.2
500KV-BYQ-003,2024-06-11 18:00:00,403.3
500KV-BYQ-001,2024-06-12 00:00:00,450.2
500KV-BYQ-002,2024-06-12 00:00:00,443.4
500KV-BYQ-003,2024-06-12 00:00:00,402.0
500KV-BYQ-001,2024-06-12 06:00:00,452.8
500KV-BYQ-002,2024-06-12 06:00:00,446.3
500KV-BYQ-003,2024-06-12 06:00:00,399.9
500KV-BYQ-001,2024-06-12 12:00:00,449.5
500KV-BYQ-002,2024-06-12 12:00:00,448.1
500KV-BYQ-003,2024-06-12 12:00:00,395.6
500KV-BYQ-001,2024-06-12 18:00:00,452.5
500KV-BYQ-002,2024-06-12 18:00:00,443.6
500KV-BYQ-003,2024-06-12 18:00:00,394.4
500KV-BYQ-001,2024-06-13 00:00:00,448.0
500KV-BYQ-002,2024-06-13 00:00:00,444.7
500KV-BYQ-003,2024-06-13 00:00:00,391.2
500KV-BYQ-001,2024-06-13 06:00:00,449.9
500KV-BYQ-002,2024-06-13 06:00:00,444.5
500KV-BYQ-003,2024-06-13 06:00:00,387.3
500KV-BYQ-001,2024-06-13 12:00:00,448.1
500KV-BYQ-002,2024-06-13 12:00:00,443.5
500KV-BYQ-003,2024-06-13 12:00:00,384.7
500KV-BYQ-001,2024-06-13 18:00:00,450.0
500KV-BYQ-002,2024-06-13 18:00:00,443.9
500KV-BYQ-003,2024-06-13 18:00:00,388.8
500KV-BYQ-001,2024-06-14 00:00:00,446.5
500KV-BYQ-002,2024-06-14 00:00:00,447.0
500KV-BYQ-003,2024-06-14 00:00:00,385.8
500KV-BYQ-001,2024-06-14 06:00:00,443.7
500KV-BYQ-002,2024-06-14 06:00:00,450.8
500KV-BYQ-003,2024-06-14 06:00:00,389.7
500KV-BYQ-001,2024-06-14 12:00:00,444.7
500KV-BYQ-002,2024-06-14 12:00:00,447.4
500KV-BYQ-003,2024-06-14 12:00:00,384.9
500KV-BYQ-001,2024-06-14 18:00:00,446.4
500KV-BYQ-002,2024-06-14 18:00:00,449.2
500KV-BYQ-003,2024-06-14 18:00:00,382.9
500KV-BYQ-001,2024-06-15 00:00:00,447.1
500KV-BYQ-002,2024-06-15 00:00:00,453.5
500KV-BYQ-003,2024-06-15 00:00:00,381.5
500KV-BYQ-001,2024-06-15 06:00:00,442.8
500KV-BYQ-002,2024-06-15 06:00:00,458.5
500KV-BYQ-003,2024-06-15 06:00:00,383.7
500KV-BYQ-001,2024-06-15 12:00:00,442.5
500KV-BYQ-002,2024-06-15 12:00:00,463.3
500KV-BYQ-003,2024-06-15 12:00:00,380.5
500KV-BYQ-001,2024-06-15 18:00:00,445.2
500KV-BYQ-002,2024-06-15 18:00:00,461.9
500KV-BYQ-003,2024-06-15 18:00:00,381.2
500KV-BYQ-001,2024-06-16 00:00:00,445.9
500KV-BYQ-002,2024-06-16 00:00:00,461.4
500KV-BYQ-003,2024-06-16 00:00:00,385.9
500KV-BYQ-001,2024-06-16 06:00:00,443.4
500KV-BYQ-002,2024-06-16 06:00:00,459.5
500KV-BYQ-003,2024-06-16 06:00:00,384.0
500KV-BYQ-001,2024-06-16 12:00:00,446.6
500KV-BYQ-002,2024-06-16 12:00:00,457.9
500KV-BYQ-003,2024-06-16 12:00:00,386.3
500KV-BYQ-001,2024-06-16 18:00:00,446.1
500KV-BYQ-002,2024-06-16 18:00:00,457.1
500KV-BYQ-003,2024-06-16 18:00:00,388.6
500KV-BYQ-001,2024-06-17 00:00:00,450.2
500KV-BYQ-002,2024-06-17 00:00:00,455.9
500KV-BYQ-003,2024-06-17 00:00:00,388.9
500KV-BYQ-001,2024-06-17 06:00:00,453.8
500KV-BYQ-002,2024-06-17 06:00:00,452.1
500KV-BYQ-003,2024-06-17 06:00:00,385.2
500KV-BYQ-001,2024-06-17 12:00:00,449.8
500KV-BYQ-002,2024-06-17 12:00:00,453.7
500KV-BYQ-003,2024-06-17 12:00:00,381.4
500KV-BYQ-001,2024-06-17 18:00:00,453.7
500KV-BYQ-002,2024-06-17 18:00:00,450.1
500KV-BYQ-003,2024-06-17 18:00:00,382.3
500KV-BYQ-001,2024-06-18 00:00:00,450.2
500KV-BYQ-002,2024-06-18 00:00:00,445.1
500KV-BYQ-003,2024-06-18 00:00:00,377.7
500KV-BYQ-001,2024-06-18 06:00:00,450.7
500KV-BYQ-002,2024-06-18 06:00:00,447.1
500KV-BYQ-003,2024-06-18 06:00:00,378.1
500KV-BYQ-001,2024-06-18 12:00:00,453.4
500KV-BYQ-002,2024-06-18 12:00:00,448.6
500KV-BYQ-003,2024-06-18 12:00:00,381.6
500KV-BYQ-001,2024-06-18 18:00:00,451.3
500KV-BYQ-002,2024-06-18 18:00:00,444.9
500KV-BYQ-003,2024-06-18 18:00:00,386.1
500KV-BYQ-001,2024-06-19 00:00:00,447.7
500KV-BYQ-002,2024-06-19 00:00:00,444.3
500KV-BYQ-003,2024-06-19 00:00:00,382.8
500KV-BYQ-001,2024-06-19 06:00:00,450.8
500KV-BYQ-002,2024-06-19 06:00:00,441.9
500KV-BYQ-003,2024-06-19 06:00:00,387.2
500KV-BYQ-001,2024-06-19 12:00:00,455.7
500KV-BYQ-002,2024-06-19 12:00:00,439.9
500KV-BYQ-003,2024-06-19 12:00:00,390.5
500KV-BYQ-001,2024-06-19 18:00:00,459.8
500KV-BYQ-002,2024-06-19 18:00:00,436.9
500KV-BYQ-003,2024-06-19 18:00:00,392.4
500KV-BYQ-001,2024-06-20 00:00:00,460.6
500KV-BYQ-002,2024-06-20 00:00:00,441.0
500KV-BYQ-003,2024-06-20 00:00:00,396.0
500KV-BYQ-001,2024-06-20 06:00:00,465.1
500KV-BYQ-002,2024-06-20 06:00:00,438.0
500KV-BYQ-003,2024-06-20 06:00:00,394.8
500KV-BYQ-001,2024-06-20 12:00:00,462.1
500KV-BYQ-002,2024-06-20 12:00:00,437.4
500KV-BYQ-003,2024-06-20 12:00:00,393.1
500KV-BYQ-001,2024-06-20 18:00:00,463.1
500KV-BYQ-002,2024-06-20 18:00:00,439.4
500KV-BYQ-003,2024-06-20 18:00:00,396.0
500KV-BYQ-001,2024-06-21 00:00:00,464.9
500KV-BYQ-002,2024-06-21 00:00:00,441.9
500KV-BYQ-003,2024-06-21 00:00:00,399.9
500KV-BYQ-001,2024-06-21 06:00:00,463.8
500KV-BYQ-002,2024-06-21 06:00:00,443.6
500KV-BYQ-003,2024-06-21 06:00:00,397.2
500KV-BYQ-001,2024-06-21 12:00:00,464.5
500KV-BYQ-002,2024-06-21 12:00:00,446.3
500KV-BYQ-003,2024-06-21 12:00:00,395.0
500KV-BYQ-001,2024-06-21 18:00:00,460.6
500KV-BYQ-002,2024-06-21 18:00:00,444.1
500KV-BYQ-003,2024-06-21 18:00:00,399.7
500KV-BYQ-001,2024-06-22 00:00:00,464.3
500KV-BYQ-002,2024-06-22 00:00:00,447.6
500KV-BYQ-003,2024-06-22 00:00:00,396.1
500KV-BYQ-001,2024-06-22 06:00:00,467.5
500KV-BYQ-002,2024-06-22 06:00:00,451.9
500KV-BYQ-003,2024-06-22 06:00:00,397.8
500KV-BYQ-001,2024-06-22 12:00:00,470.4
500KV-BYQ-002,2024-06-22 12:00:00,452.2
500KV-BYQ-003,2024-06-22 12:00:00,396.0
500KV-BYQ-001,2024-06-22 18:00:00,471.1
500KV-BYQ-002,2024-06-22 18:00:00,449.1
500KV-BYQ-003,2024-06-22 18:00:00,400.9
500KV-BYQ-001,2024-06-23 00:00:00,472.8
500KV-BYQ-002,2024-06-23 00:00:00,451.7
500KV-BYQ-003,2024-06-23 00:00:00,405.8
500KV-BYQ-001,2024-06-23 06:00:00,476.9
500KV-BYQ-002,2024-06-23 06:00:00,453.4
500KV-BYQ-003,2024-06-23 06:00:00,404.9
500KV-BYQ-001,2024-06-23 12:00:00,474.5
500KV-BYQ-002,2024-06-23 12:00:00,452.9
500KV-BYQ-003,2024-06-23 12:00:00,401.0
500KV-BYQ-001,2024-06-23 18:00:00,473.0
500KV-BYQ-002,2024-06-23 18:00:00,456.8
500KV-BYQ-003,2024-06-23 18:00:00,399.5
500KV-BYQ-001,2024-06-24 00:00:00,471.1
500KV-BYQ-002,2024-06-24 00:00:00,457.9
500KV-BYQ-003,2024-06-24 00:00:00,396.2
500KV-BYQ-001,2024-06-24 06:00:00,467.8
500KV-BYQ-002,2024-06-24 06:00:00,460.7
500KV-BYQ-003,2024-06-24 06:00:00,396.9
500KV-BYQ-001,2024-06-24 12:00:00,463.7
500KV-BYQ-002,2024-06-24 12:00:00,461.6
500KV-BYQ-003,2024-06-24 12:00:00,393.3
500KV-BYQ-001,2024-06-24 18:00:00,466.3
500KV-BYQ-002,2024-06-24 18:00:00,465.0
500KV-BYQ-003,2024-06-24 18:00:00,392.0
500KV-BYQ-001,2024-06-25 00:00:00,469.7
500KV-BYQ-002,2024-06-25 00:00:00,462.1
500KV-BYQ-003,2024-06-25 00:00:00,388.7
500KV-BYQ-001,2024-06-25 06:00:00,474.6
500KV-BYQ-002,2024-06-25 06:00:00,466.9
500KV-BYQ-003,2024-06-25 06:00:00,390.3
500KV-BYQ-001,2024-06-25 12:00:00,477.4
500KV-BYQ-002,2024-06-25 12:00:00,465.8
500KV-BYQ-003,2024-06-25 12:00:00,386.7
500KV-BYQ-001,2024-06-25 18:00:00,473.7
500KV-BYQ-002,2024-06-25 18:00:00,463.7
500KV-BYQ-003,2024-06-25 18:00:00,384.7
500KV-BYQ-001,2024-06-26 00:00:00,471.3
500KV-BYQ-002,2024-06-26 00:00:00,464.3
500KV-BYQ-003,2024-06-26 00:00:00,388.3
500KV-BYQ-001,2024-06-26 06:00:00,472.7
500KV-BYQ-002,2024-06-26 06:00:00,465.1
500KV-BYQ-003,2024-06-26 06:00:00,390.9
500KV-BYQ-001,2024-06-26 12:00:00,469.4
500KV-BYQ-002,2024-06-26 12:00:00,460.6
500KV-BYQ-003,2024-06-26 12:00:00,389.0
500KV-BYQ-001,2024-06-26 18:00:00,472.6
500KV-BYQ-002,2024-06-26 18:00:00,460.0
500KV-BYQ-003,2024-06-26 18:00:00,384.6
500KV-BYQ-001,2024-06-27 00:00:00,471.8
500KV-BYQ-002,2024-06-27 00:00:00,455.2
500KV-BYQ-003,2024-06-27 00:00:00,387.1
500KV-BYQ-001,2024-06-27 06:00:00,473.2
500KV-BYQ-002,2024-06-27 06:00:00,450.8
500KV-BYQ-003,2024-06-27 06:00:00,389.7
500KV-BYQ-001,2024-06-27 12:00:00,475.2
500KV-BYQ-002,2024-06-27 12:00:00,448.3
500KV-BYQ-003,2024-06-27 12:00:00,389.8
500KV-BYQ-001,2024-06-27 18:00:00,474.5
500KV-BYQ-002,2024-06-27 18:00:00,446.3
500KV-BYQ-003,2024-06-27 18:00:00,390.6
500KV-BYQ-001,2024-06-28 00:00:00,477.6
500KV-BYQ-002,2024-06-28 00:00:00,450.4
500KV-BYQ-003,2024-06-28 00:00:00,393.0
500KV-BYQ-001,2024-06-28 06:00:00,473.0
500KV-BYQ-002,2024-06-28 06:00:00,446.5
500KV-BYQ-003,2024-06-28 06:00:00,396.0
500KV-BYQ-001,2024-06-28 12:00:00,471.3
500KV-BYQ-002,2024-06-28 12:00:00,445.6
500KV-BYQ-003,2024-06-28 12:00:00,400.8
500KV-BYQ-001,2024-06-28 18:00:00,470.7
500KV-BYQ-002,2024-06-28 18:00:00,448.2
500KV-BYQ-003,2024-06-28 18:00:00,401.4
500KV-BYQ-001,2024-06-29 00:00:00,472.4
500KV-BYQ-002,2024-06-29 00:00:00,451.1
500KV-BYQ-003,2024-06-29 00:00:00,397.1
500KV-BYQ-001,2024-06-29 06:00:00,476.6
500KV-BYQ-002,2024-06-29 06:00:00,455.5
500KV-BYQ-003,2024-06-29 06:00:00,399.0
500KV-BYQ-001,2024-06-29 12:00:00,479.0
500KV-BYQ-002,2024-06-29 12:00:00,458.2
500KV-BYQ-003,2024-06-29 12:00:00,401.5
500KV-BYQ-001,2024-06-29 18:00:00,476.6
500KV-BYQ-002,2024-06-29 18:00:00,455.9
500KV-BYQ-003,2024-06-29 18:00:00,405.9
500KV-BYQ-001,2024-06-30 00:00:00,473.3
500KV-BYQ-002,2024-06-30 00:00:00,456.5
500KV-BYQ-003,2024-06-30 00:00:00,403.9
500KV-BYQ-001,2024-06-30 06:00:00,476.5
500KV-BYQ-002,2024-06-30 06:00:00,451.9
500KV-BYQ-003,2024-06-30 06:00:00,406.8
500KV-BYQ-001,2024-06-30 12:00:00,480.5
500KV-BYQ-002,2024-06-30 12:00:00,454.2
500KV-BYQ-003,2024-06-30 12:00:00,408.5
500KV-BYQ-001,2024-06-30 18:00:00,477.9
500KV-BYQ-002,2024-06-30 18:00:00,452.5
500KV-BYQ-003,2024-06-30 18:00:00,413.3
500KV-BYQ-001,2024-07-01 00:00:00,482.0
500KV-BYQ-002,2024-07-01 00:00:00,456.7
500KV-BYQ-003,2024-07-01 00:00:00,413.1
500KV-BYQ-001,2024-07-01 06:00:00,483.7
500KV-BYQ-002,2024-07-01 06:00:00,459.6
500KV-BYQ-003,2024-07-01 06:00:00,412.3
500KV-BYQ-001,2024-07-01 12:00:00,485.9
500KV-BYQ-002,2024-07-01 12:00:00,457.9
500KV-BYQ-003,2024-07-01 12:00:00,409.5
500KV-BYQ-001,2024-07-01 18:00:00,487.9
500KV-BYQ-002,2024-07-01 18:00:00,460.8
500KV-BYQ-003,2024-07-01 18:00:00,413.9
500KV-BYQ-001,2024-07-02 00:00:00,488.9
500KV-BYQ-002,2024-07-02 00:00:00,458.7
500KV-BYQ-003,2024-07-02 00:00:00,415.1
500KV-BYQ-001,2024-07-02 06:00:00,487.2
500KV-BYQ-002,2024-07-02 06:00:00,454.4
500KV-BYQ-003,2024-07-02 06:00:00,414.7
500KV-BYQ-001,2024-07-02 12:00:00,490.5
500KV-BYQ-002,2024-07-02 12:00:00,456.9
500KV-BYQ-003,2024-07-02 12:00:00,410.7
500KV-BYQ-001,2024-07-02 18:00:00,486.5
500KV-BYQ-002,2024-07-02 18:00:00,453.4
500KV-BYQ-003,2024-07-02 18:00:00,413.2
500KV-BYQ-001,2024-07-03 00:00:00,484.0
500KV-BYQ-002,2024-07-03 00:00:00,452.5
500KV-BYQ-003,2024-07-03 00:00:00,417.5
500KV-BYQ-001,2024-07-03 06:00:00,487.8
500KV-BYQ-002,2024-07-03 06:00:00,457.4
500KV-BYQ-003,2024-07-03 06:00:00,421.2
500KV-BYQ-001,2024-07-03 12:00:00,487.7
500KV-BYQ-002,2024-07-03 12:00:00,453.9
500KV-BYQ-003,2024-07-03 12:00:00,421.6
500KV-BYQ-001,2024-07-03 18:00:00,490.6
500KV-BYQ-002,2024-07-03 18:00:00,454.3
500KV-BYQ-003,2024-07-03 18:00:00,422.1
500KV-BYQ-001,2024-07-04 00:00:00,488.5
500KV-BYQ-002,2024-07-04 00:00:00,449.8
500KV-BYQ-003,2024-07-04 00:00:00,421.2
500KV-BYQ-001,2024-07-04 06:00:00,487.6
500KV-BYQ-002,2024-07-04 06:00:00,449.0
500KV-BYQ-003,2024-07-04 06:00:00,425.8
500KV-BYQ-001,2024-07-04 12:00:00,487.5
500KV-BYQ-002,2024-07-04 12:00:00,452.6
500KV-BYQ-003,2024-07-04 12:00:00,426.2
500KV-BYQ-001,2024-07-04 18:00:00,487.0
500KV-BYQ-002,2024-07-04 18:00:00,452.3
500KV-BYQ-003,2024-07-04 18:00:00,430.8
500KV-BYQ-001,2024-07-05 00:00:00,482.1
500KV-BYQ-002,2024-07-05 00:00:00,451.2
500KV-BYQ-003,2024-07-05 00:00:00,430.3
500KV-BYQ-001,2024-07-05 06:00:00,485.3
500KV-BYQ-002,2024-07-05 06:00:00,454.5
500KV-BYQ-003,2024-07-05 06:00:00,428.8
500KV-BYQ-001,2024-07-05 12:00:00,488.6
500KV-BYQ-002,2024-07-05 12:00:00,453.4
500KV-BYQ-003,2024-07-05 12:00:00,428.0
500KV-BYQ-001,2024-07-05 18:00:00,489.7
500KV-BYQ-002,2024-07-05 18:00:00,449.0
500KV-BYQ-003,2024-07-05 18:00:00,423.0
500KV-BYQ-001,2024-07-06 00:00:00,484.9
500KV-BYQ-002,2024-07-06 00:00:00,451.0
500KV-BYQ-003,2024-07-06 00:00:00,423.1
500KV-BYQ-001,2024-07-06 06:00:00,486.5
500KV-BYQ-002,2024-07-06 06:00:00,455.9
500KV-BYQ-003,2024-07-06 06:00:00,427.7
500KV-BYQ-001,2024-07-06 12:00:00,491.1
500KV-BYQ-002,2024-07-06 12:00:00,451.0
500KV-BYQ-003,2024-07-06 12:00:00,427.4
500KV-BYQ-001,2024-07-06 18:00:00,489.9
500KV-BYQ-002,2024-07-06 18:00:00,449.5
500KV-BYQ-003,2024-07-06 18:00:00,424.7
500KV-BYQ-001,2024-07-07 00:00:00,493.0
500KV-BYQ-002,2024-07-07 00:00:00,450.4
500KV-BYQ-003,2024-07-07 00:00:00,425.8
500KV-BYQ-001,2024-07-07 06:00:00,494.2
500KV-BYQ-002,2024-07-07 06:00:00,451.8
500KV-BYQ-003,2024-07-07 06:00:00,426.4
500KV-BYQ-001,2024-07-07 12:00:00,489.3
500KV-BYQ-002,2024-07-07 12:00:00,453.1
500KV-BYQ-003,2024-07-07 12:00:00,431.0
500KV-BYQ-001,2024-07-07 18:00:00,489.2
500KV-BYQ-002,2024-07-07 18:00:00,453.1
500KV-BYQ-003,2024-07-07 18:00:00,428.0
500KV-BYQ-001,2024-07-08 00:00:00,486.5
500KV-BYQ-002,2024-07-08 00:00:00,454.8
500KV-BYQ-003,2024-07-08 00:00:00,427.2
500KV-BYQ-001,2024-07-08 06:00:00,487.5
500KV-BYQ-002,2024-07-08 06:00:00,458.7
500KV-BYQ-003,2024-07-08 06:00:00,431.4
500KV-BYQ-001,2024-07-08 12:00:00,490.9
500KV-BYQ-002,2024-07-08 12:00:00,457.6
500KV-BYQ-003,2024-07-08 12:00:00,432.4
500KV-BYQ-001,2024-07-08 18:00:00,488.1
500KV-BYQ-002,2024-07-08 18:00:00,461.6
500KV-BYQ-003,2024-07-08 18:00:00,433.5
500KV-BYQ-001,2024-07-09 00:00:00,491.6
500KV-BYQ-002,2024-07-09 00:00:00,461.6
500KV-BYQ-003,2024-07-09 00:00:00,432.5
500KV-BYQ-001,2024-07-09 06:00:00,492.2
500KV-BYQ-002,2024-07-09 06:00:00,456.7
500KV-BYQ-003,2024-07-09 06:00:00,432.1
500KV-BYQ-001,2024-07-09 12:00:00,492.2
500KV-BYQ-002,2024-07-09 12:00:00,453.4
500KV-BYQ-003,2024-07-09 12:00:00,428.9
500KV-BYQ-001,2024-07-09 18:00:00,491.9
500KV-BYQ-002,2024-07-09 18:00:00,450.4
500KV-BYQ-003,2024-07-09 18:00:00,427.4
500KV-BYQ-001,2024-07-10 00:00:00,488.3
500KV-BYQ-002,2024-07-10 00:00:00,454.5
500KV-BYQ-003,2024-07-10 00:00:00,423.6
500KV-BYQ-001,2024-07-10 06:00:00,492.2
500KV-BYQ-002,2024-07-10 06:00:00,454.5
500KV-BYQ-003,2024-07-10 06:00:00,425.0
500KV-BYQ-001,2024-07-10 12:00:00,487.3
500KV-BYQ-002,2024-07-10 12:00:00,456.2
500KV-BYQ-003,2024-07-10 12:00:00,425.6
500KV-BYQ-001,2024-07-10 18:00:00,485.7
500KV-BYQ-002,2024-07-10 18:00:00,454.5
500KV-BYQ-003,2024-07-10 18:00:00,429.6
500KV-BYQ-001,2024-07-11 00:00:00,480.9
500KV-BYQ-002,2024-07-11 00:00:00,451.7
500KV-BYQ-003,2024-07-11 00:00:00,424.7
500KV-BYQ-001,2024-07-11 06:00:00,480.6
500KV-BYQ-002,2024-07-11 06:00:00,449.7
500KV-BYQ-003,2024-07-11 06:00:00,428.4
500KV-BYQ-001,2024-07-11 12:00:00,481.2
500KV-BYQ-002,2024-07-11 12:00:00,453.5
500KV-BYQ-003,2024-07-11 12:00:00,430.5
500KV-BYQ-001,2024-07-11 18:00:00,484.1
500KV-BYQ-002,2024-07-11 18:00:00,453.5
500KV-BYQ-003,2024-07-11 18:00:00,431.1
500KV-BYQ-001,2024-07-12 00:00:00,482.1
500KV-BYQ-002,2024-07-12 00:00:00,450.8
500KV-BYQ-003,2024-07-12 00:00:00,433.0
500KV-BYQ-001,2024-07-12 06:00:00,486.6
500KV-BYQ-002,2024-07-12 06:00:00,449.5
