变压器资产ID,产生时间（15秒）,相别,有功电流（A）,有功功率（MW）,无功功率（MW）,负载率（%）,功率因数,开关档位
500KV-BYQ-002,2024-06-01 00:06:00,B,1222.2,430.5,89.6,73.0,0.94,3
500KV-BYQ-002,2024-06-01 00:06:00,C,1272.9,434.0,81.9,69.3,0.92,3
500KV-BYQ-003,2024-06-01 00:06:00,A,1286.3,446.2,95.4,64.6,0.94,3
500KV-BYQ-003,2024-06-01 00:06:00,B,1244.4,420.3,83.6,70.0,0.93,3
500KV-BYQ-003,2024-06-01 00:06:00,C,1197.3,428.0,82.8,65.8,0.94,3
500KV-BYQ-001,2024-06-01 00:07:00,A,1263.8,430.7,81.3,69.1,0.93,2
500KV-BYQ-001,2024-06-01 00:07:00,B,1234.3,417.9,84.8,72.1,0.94,2
500KV-BYQ-001,2024-06-01 00:07:00,C,1225.9,408.6,91.3,70.0,0.93,2
500KV-BYQ-002,2024-06-01 00:07:00,A,1245.9,416.0,83.8,66.5,0.93,5
500KV-BYQ-002,2024-06-01 00:07:00,B,1217.3,402.5,89.9,73.1,0.94,5
500KV-BYQ-002,2024-06-01 00:07:00,C,1217.8,424.7,93.5,66.6,0.94,5
500KV-BYQ-003,2024-06-01 00:07:00,A,1237.9,426.5,82.9,71.5,0.93,2
500KV-BYQ-003,2024-06-01 00:07:00,B,1240.3,421.0,85.1,73.1,0.93,2
500KV-BYQ-003,2024-06-01 00:07:00,C,1267.7,437.0,83.7,66.8,0.93,2
500KV-BYQ-001,2024-06-01 00:08:00,A,1231.8,426.8,90.6,66.2,0.93,4
500KV-BYQ-001,2024-06-01 00:08:00,B,1249.7,439.2,81.2,64.2,0.93,4
500KV-BYQ-001,2024-06-01 00:08:00,C,1293.8,441.4,81.0,70.1,0.9,4
500KV-BYQ-002,2024-06-01 00:08:00,A,1266.6,413.4,92.3,71.4,0.94,5
500KV-BYQ-002,2024-06-01 00:08:00,B,1247.7,450.9,87.1,71.4,0.92,5
500KV-BYQ-002,2024-06-01 00:08:00,C,1247.8,438.6,79.4,69.5,0.92,5
500KV-BYQ-003,2024-06-01 00:08:00,A,1278.9,439.7,80.5,71.8,0.92,3
500KV-BYQ-003,2024-06-01 00:08:00,B,1185.9,420.4,86.3,72.4,0.9,3
500KV-BYQ-003,2024-06-01 00:08:00,C,1199.0,455.8,83.7,74.8,0.91,3
500KV-BYQ-001,2024-06-01 00:09:00,A,1266.5,411.1,86.8,67.4,0.92,1
500KV-BYQ-001,2024-06-01 00:09:00,B,1250.5,398.6,91.8,68.0,0.93,1
500KV-BYQ-001,2024-06-01 00:09:00,C,1245.2,426.1,91.6,71.8,0.93,1
500KV-BYQ-002,2024-06-01 00:09:00,A,1318.3,405.7,92.3,74.6,0.93,2
500KV-BYQ-002,2024-06-01 00:09:00,B,1233.7,428.5,83.7,69.3,0.93,2
500KV-BYQ-002,2024-06-01 00:09:00,C,1286.4,431.8,91.7,71.7,0.94,2
500KV-BYQ-003,2024-06-01 00:09:00,A,1262.5,416.8,86.3,73.4,0.92,1
500KV-BYQ-003,2024-06-01 00:09:00,B,1271.0,448.6,83.0,66.3,0.91,1
500KV-BYQ-003,2024-06-01 00:09:00,C,1274.8,430.8,87.3,70.9,0.91,1
500KV-BYQ-001,2024-06-01 00:10:00,A,1247.6,430.5,91.9,73.4,0.93,3
500KV-BYQ-001,2024-06-01 00:10:00,B,1270.8,409.9,88.4,71.7,0.92,3
500KV-BYQ-001,2024-06-01 00:10:00,C,1259.4,444.3,81.8,68.7,0.94,3
500KV-BYQ-002,2024-06-01 00:10:00,A,1216.1,448.5,95.1,73.6,0.92,3
500KV-BYQ-002,2024-06-01 00:10:00,B,1239.0,410.7,84.3,69.9,0.92,3
500KV-BYQ-002,2024-06-01 00:10:00,C,1237.9,430.1,95.2,69.2,0.92,3
500KV-BYQ-003,2024-06-01 00:10:00,A,1260.2,422.7,80.4,69.0,0.93,1
500KV-BYQ-003,2024-06-01 00:10:00,B,1227.2,432.2,88.3,70.4,0.9,1
500KV-BYQ-003,2024-06-01 00:10:00,C,1268.6,425.6,90.7,73.2,0.93,1
500KV-BYQ-001,2024-06-01 00:11:00,A,1177.9,422.1,86.1,67.3,0.9,2
500KV-BYQ-001,2024-06-01 00:11:00,B,1279.7,424.3,92.3,65.7,0.93,2
500KV-BYQ-001,2024-06-01 00:11:00,C,1290.0,444.3,89.5,69.7,0.94,2
500KV-BYQ-002,2024-06-01 00:11:00,A,1242.5,406.3,94.0,71.2,0.91,2
500KV-BYQ-002,2024-06-01 00:11:00,B,1284.1,402.1,90.9,73.2,0.92,2
500KV-BYQ-002,2024-06-01 00:11:00,C,1225.9,439.2,92.9,66.5,0.93,2
500KV-BYQ-003,2024-06-01 00:11:00,A,1208.5,403.1,89.3,67.9,0.92,1
500KV-BYQ-003,2024-06-01 00:11:00,B,1255.4,409.0,82.3,64.6,0.94,1
500KV-BYQ-003,2024-06-01 00:11:00,C,1298.8,426.6,91.5,73.9,0.91,1
500KV-BYQ-001,2024-06-01 00:12:00,A,1229.5,432.3,83.8,69.0,0.91,2
500KV-BYQ-001,2024-06-01 00:12:00,B,1226.0,415.6,91.8,74.1,0.9,2
500KV-BYQ-001,2024-06-01 00:12:00,C,1269.8,439.4,90.5,66.2,0.92,2
500KV-BYQ-002,2024-06-01 00:12:00,A,1293.9,445.2,94.3,65.5,0.93,3
500KV-BYQ-002,2024-06-01 00:12:00,B,1293.7,448.1,91.7,72.1,0.91,3
500KV-BYQ-002,2024-06-01 00:12:00,C,1218.8,398.5,83.2,70.3,0.9,3
500KV-BYQ-003,2024-06-01 00:12:00,A,1259.1,400.1,92.2,66.8,0.93,5
500KV-BYQ-003,2024-06-01 00:12:00,B,1226.9,428.7,90.3,68.5,0.93,5
500KV-BYQ-003,2024-06-01 00:12:00,C,1220.4,426.9,82.4,66.9,0.93,5
500KV-BYQ-001,2024-06-01 00:13:00,A,1219.9,396.1,79.7,73.1,0.92,4
500KV-BYQ-001,2024-06-01 00:13:00,B,1237.1,402.7,82.4,74.4,0.92,4
500KV-BYQ-001,2024-06-01 00:13:00,C,1238.3,433.1,79.3,69.7,0.93,4
500KV-BYQ-002,2024-06-01 00:13:00,A,1198.5,399.8,82.9,69.4,0.94,1
500KV-BYQ-002,2024-06-01 00:13:00,B,1285.5,432.8,81.4,67.6,0.94,1
500KV-BYQ-002,2024-06-01 00:13:00,C,1309.2,441.8,91.0,70.7,0.9,1
500KV-BYQ-003,2024-06-01 00:13:00,A,1275.0,441.6,87.4,71.9,0.92,4
500KV-BYQ-003,2024-06-01 00:13:00,B,1232.5,438.2,84.4,71.3,0.93,4
500KV-BYQ-003,2024-06-01 00:13:00,C,1276.5,439.3,86.6,66.2,0.9,4
500KV-BYQ-001,2024-06-01 00:14:00,A,1284.5,413.0,84.5,68.6,0.95,3
500KV-BYQ-001,2024-06-01 00:14:00,B,1283.3,424.7,91.9,74.8,0.92,3
500KV-BYQ-001,2024-06-01 00:14:00,C,1272.2,448.4,80.9,71.0,0.93,3
500KV-BYQ-002,2024-06-01 00:14:00,A,1222.9,434.5,86.1,69.8,0.91,3
500KV-BYQ-002,2024-06-01 00:14:00,B,1223.6,399.6,82.8,72.9,0.91,3
500KV-BYQ-002,2024-06-01 00:14:00,C,1230.9,404.7,84.9,71.8,0.94,3
500KV-BYQ-003,2024-06-01 00:14:00,A,1273.6,422.1,96.0,67.5,0.95,2
500KV-BYQ-003,2024-06-01 00:14:00,B,1244.7,428.5,80.7,71.0,0.92,2
500KV-BYQ-003,2024-06-01 00:14:00,C,1307.0,450.0,82.6,73.0,0.93,2
500KV-BYQ-001,2024-06-01 00:15:00,A,1211.5,404.9,85.0,72.5,0.94,5
500KV-BYQ-001,2024-06-01 00:15:00,B,1260.2,419.4,88.0,67.8,0.92,5
500KV-BYQ-001,2024-06-01 00:15:00,C,1214.6,426.6,95.4,65.4,0.95,5
500KV-BYQ-002,2024-06-01 00:15:00,A,1264.4,447.3,92.6,69.4,0.93,2
500KV-BYQ-002,2024-06-01 00:15:00,B,1210.9,427.2,79.9,71.2,0.9,2
500KV-BYQ-002,2024-06-01 00:15:00,C,1257.4,436.6,87.8,72.5,0.93,2
500KV-BYQ-003,2024-06-01 00:15:00,A,1294.6,418.8,85.1,71.6,0.92,3
500KV-BYQ-003,2024-06-01 00:15:00,B,1294.5,407.3,90.9,68.7,0.93,3
500KV-BYQ-003,2024-06-01 00:15:00,C,1294.2,406.0,84.0,69.4,0.93,3
500KV-BYQ-001,2024-06-01 00:16:00,A,1251.2,426.9,84.1,69.0,0.92,1
500KV-BYQ-001,2024-06-01 00:16:00,B,1261.8,400.4,84.6,68.7,0.95,1
500KV-BYQ-001,2024-06-01 00:16:00,C,1244.8,445.2,93.2,67.0,0.91,1
500KV-BYQ-002,2024-06-01 00:16:00,A,1208.5,427.9,84.1,69.7,0.93,3
500KV-BYQ-002,2024-06-01 00:16:00,B,1258.7,445.0,83.7,68.5,0.94,3
500KV-BYQ-002,2024-06-01 00:16:00,C,1293.8,420.0,93.5,70.9,0.92,3
500KV-BYQ-003,2024-06-01 00:16:00,A,1196.3,405.8,82.8,71.3,0.95,1
500KV-BYQ-003,2024-06-01 00:16:00,B,1260.4,428.0,94.1,68.3,0.91,1
500KV-BYQ-003,2024-06-01 00:16:00,C,1286.5,436.1,84.5,73.0,0.94,1
500KV-BYQ-001,2024-06-01 00:17:00,A,1291.3,412.3,90.1,67.6,0.93,5
500KV-BYQ-001,2024-06-01 00:17:00,B,1250.3,413.7,86.1,69.7,0.94,5
500KV-BYQ-001,2024-06-01 00:17:00,C,1197.8,406.2,86.4,70.8,0.93,5
500KV-BYQ-002,2024-06-01 00:17:00,A,1297.1,451.5,84.7,65.8,0.95,1
500KV-BYQ-002,2024-06-01 00:17:00,B,1260.2,442.9,85.7,70.4,0.93,1
500KV-BYQ-002,2024-06-01 00:17:00,C,1303.7,446.8,88.1,72.3,0.92,1
500KV-BYQ-003,2024-06-01 00:17:00,A,1263.5,432.5,84.1,65.8,0.94,2
500KV-BYQ-003,2024-06-01 00:17:00,B,1284.6,396.9,92.6,73.1,0.93,2
500KV-BYQ-003,2024-06-01 00:17:00,C,1196.4,412.9,90.5,65.1,0.93,2
500KV-BYQ-001,2024-06-01 00:18:00,A,1289.5,408.8,85.9,68.1,0.91,5
500KV-BYQ-001,2024-06-01 00:18:00,B,1210.9,441.5,82.4,73.3,0.91,5
500KV-BYQ-001,2024-06-01 00:18:00,C,1247.0,427.0,81.7,73.0,0.93,5
500KV-BYQ-002,2024-06-01 00:18:00,A,1280.2,446.4,87.8,72.4,0.92,2
500KV-BYQ-002,2024-06-01 00:18:00,B,1255.2,436.5,87.2,75.3,0.91,2
500KV-BYQ-002,2024-06-01 00:18:00,C,1260.3,406.7,83.7,65.8,0.92,2
500KV-BYQ-003,2024-06-01 00:18:00,A,1257.7,443.4,95.2,72.0,0.91,3
500KV-BYQ-003,2024-06-01 00:18:00,B,1252.3,401.5,94.0,74.6,0.9,3
500KV-BYQ-003,2024-06-01 00:18:00,C,1276.2,433.8,84.9,70.8,0.94,3
500KV-BYQ-001,2024-06-01 00:19:00,A,1279.1,442.7,82.8,69.2,0.93,2
500KV-BYQ-001,2024-06-01 00:19:00,B,1226.7,424.2,84.1,75.7,0.93,2
500KV-BYQ-001,2024-06-01 00:19:00,C,1194.6,443.0,85.6,74.3,0.95,2
500KV-BYQ-002,2024-06-01 00:19:00,A,1250.6,420.9,95.8,67.8,0.94,3
500KV-BYQ-002,2024-06-01 00:19:00,B,1271.4,424.9,92.8,71.5,0.92,3
500KV-BYQ-002,2024-06-01 00:19:00,C,1190.1,440.8,91.8,71.6,0.92,3
500KV-BYQ-003,2024-06-01 00:19:00,A,1252.7,448.9,79.4,67.5,0.93,5
500KV-BYQ-003,2024-06-01 00:19:00,B,1245.4,437.4,87.7,73.7,0.93,5
500KV-BYQ-003,2024-06-01 00:19:00,C,1217.6,410.3,86.0,72.7,0.93,5
500KV-BYQ-001,2024-06-01 00:20:00,A,1273.9,422.6,83.3,68.8,0.93,3
500KV-BYQ-001,2024-06-01 00:20:00,B,1294.1,425.1,90.1,73.5,0.93,3
500KV-BYQ-001,2024-06-01 00:20:00,C,1250.7,425.6,84.7,66.7,0.9,3
500KV-BYQ-002,2024-06-01 00:20:00,A,1274.9,432.7,82.1,68.5,0.93,4
500KV-BYQ-002,2024-06-01 00:20:00,B,1257.3,397.5,95.1,69.1,0.94,4
500KV-BYQ-002,2024-06-01 00:20:00,C,1299.7,419.7,82.7,72.2,0.92,4
500KV-BYQ-003,2024-06-01 00:20:00,A,1265.4,407.1,91.8,69.0,0.91,2
500KV-BYQ-003,2024-06-01 00:20:00,B,1272.6,424.9,86.3,71.7,0.93,2
500KV-BYQ-003,2024-06-01 00:20:00,C,1247.2,401.3,88.2,73.1,0.94,2
500KV-BYQ-001,2024-06-01 00:21:00,A,1253.7,445.7,91.7,70.8,0.93,1
500KV-BYQ-001,2024-06-01 00:21:00,B,1296.4,423.3,84.4,69.6,0.94,1
500KV-BYQ-001,2024-06-01 00:21:00,C,1224.0,457.2,87.1,69.5,0.9,1
500KV-BYQ-002,2024-06-01 00:21:00,A,1226.5,437.2,87.9,69.5,0.9,5
500KV-BYQ-002,2024-06-01 00:21:00,B,1259.2,411.2,87.5,72.1,0.91,5
500KV-BYQ-002,2024-06-01 00:21:00,C,1291.9,424.3,80.7,73.0,0.93,5
500KV-BYQ-003,2024-06-01 00:21:00,A,1269.1,440.4,94.2,64.8,0.92,5
500KV-BYQ-003,2024-06-01 00:21:00,B,1264.6,407.6,85.0,71.4,0.95,5
500KV-BYQ-003,2024-06-01 00:21:00,C,1225.7,406.9,87.1,71.9,0.95,5
500KV-BYQ-001,2024-06-01 00:22:00,A,1294.5,420.9,90.2,72.8,0.93,2
500KV-BYQ-001,2024-06-01 00:22:00,B,1260.0,412.2,84.1,69.4,0.91,2
500KV-BYQ-001,2024-06-01 00:22:00,C,1268.5,456.9,79.8,72.8,0.94,2
500KV-BYQ-002,2024-06-01 00:22:00,A,1292.7,439.4,86.8,69.6,0.94,5
500KV-BYQ-002,2024-06-01 00:22:00,B,1253.5,401.2,90.6,74.0,0.95,5
500KV-BYQ-002,2024-06-01 00:22:00,C,1271.2,429.6,93.6,69.6,0.95,5
500KV-BYQ-003,2024-06-01 00:22:00,A,1212.0,435.6,90.3,68.4,0.92,1
500KV-BYQ-003,2024-06-01 00:22:00,B,1283.5,445.5,88.2,68.6,0.93,1
500KV-BYQ-003,2024-06-01 00:22:00,C,1260.1,420.5,94.2,71.0,0.92,1
500KV-BYQ-001,2024-06-01 00:23:00,A,1269.9,422.5,87.2,68.9,0.91,4
500KV-BYQ-001,2024-06-01 00:23:00,B,1263.6,414.8,81.0,73.8,0.92,4
500KV-BYQ-001,2024-06-01 00:23:00,C,1304.8,438.0,89.5,70.4,0.94,4
500KV-BYQ-002,2024-06-01 00:23:00,A,1288.1,448.4,87.8,74.9,0.93,3
500KV-BYQ-002,2024-06-01 00:23:00,B,1267.5,423.4,81.2,64.6,0.93,3
500KV-BYQ-002,2024-06-01 00:23:00,C,1202.5,436.5,89.0,70.2,0.91,3
500KV-BYQ-003,2024-06-01 00:23:00,A,1283.9,438.6,83.9,70.6,0.91,5
500KV-BYQ-003,2024-06-01 00:23:00,B,1231.2,432.6,94.4,69.5,0.93,5
500KV-BYQ-003,2024-06-01 00:23:00,C,1286.9,414.1,81.9,68.0,0.93,5
500KV-BYQ-001,2024-06-01 00:24:00,A,1188.7,418.4,96.2,65.3,0.94,2
500KV-BYQ-001,2024-06-01 00:24:00,B,1302.5,416.1,88.9,72.9,0.94,2
500KV-BYQ-001,2024-06-01 00:24:00,C,1240.0,440.7,87.6,74.5,0.94,2
500KV-BYQ-002,2024-06-01 00:24:00,A,1309.0,412.7,93.7,72.6,0.93,3
500KV-BYQ-002,2024-06-01 00:24:00,B,1275.6,408.4,83.2,70.2,0.91,3
500KV-BYQ-002,2024-06-01 00:24:00,C,1219.8,419.5,81.7,72.0,0.92,3
500KV-BYQ-003,2024-06-01 00:24:00,A,1265.4,441.7,87.3,72.7,0.95,4
500KV-BYQ-003,2024-06-01 00:24:00,B,1215.6,411.0,91.8,64.7,0.9,4
500KV-BYQ-003,2024-06-01 00:24:00,C,1221.1,439.1,90.1,70.6,0.91,4
500KV-BYQ-001,2024-06-01 00:25:00,A,1256.9,404.0,83.3,69.4,0.91,1
500KV-BYQ-001,2024-06-01 00:25:00,B,1249.6,400.2,93.7,74.3,0.94,1
500KV-BYQ-001,2024-06-01 00:25:00,C,1250.6,435.7,87.5,75.1,0.94,1
500KV-BYQ-002,2024-06-01 00:25:00,A,1258.1,444.9,83.8,71.2,0.9,5
500KV-BYQ-002,2024-06-01 00:25:00,B,1273.1,420.9,82.6,72.8,0.95,5
500KV-BYQ-002,2024-06-01 00:25:00,C,1247.9,399.5,84.7,66.8,0.94,5
500KV-BYQ-003,2024-06-01 00:25:00,A,1255.2,412.3,93.1,66.4,0.92,2
500KV-BYQ-003,2024-06-01 00:25:00,B,1259.7,413.3,90.6,73.7,0.92,2
500KV-BYQ-003,2024-06-01 00:25:00,C,1229.1,427.8,88.8,73.4,0.91,2
500KV-BYQ-001,2024-06-01 00:26:00,A,1217.3,427.5,83.9,68.4,0.92,2
500KV-BYQ-001,2024-06-01 00:26:00,B,1280.6,427.7,86.2,73.1,0.91,2
500KV-BYQ-001,2024-06-01 00:26:00,C,1315.4,411.5,86.9,66.5,0.95,2
500KV-BYQ-002,2024-06-01 00:26:00,A,1195.9,416.6,92.7,68.2,0.93,1
500KV-BYQ-002,2024-06-01 00:26:00,B,1278.9,430.8,88.6,73.3,0.93,1
500KV-BYQ-002,2024-06-01 00:26:00,C,1259.0,433.3,82.9,72.4,0.94,1
500KV-BYQ-003,2024-06-01 00:26:00,A,1305.2,428.6,94.1,67.5,0.9,1
500KV-BYQ-003,2024-06-01 00:26:00,B,1277.6,438.4,89.4,72.2,0.9,1
500KV-BYQ-003,2024-06-01 00:26:00,C,1230.1,438.4,90.4,70.5,0.93,1
500KV-BYQ-001,2024-06-01 00:27:00,A,1233.7,432.5,91.8,71.7,0.93,4
500KV-BYQ-001,2024-06-01 00:27:00,B,1296.2,413.8,96.4,74.3,0.93,4
500KV-BYQ-001,2024-06-01 00:27:00,C,1267.9,429.1,83.8,68.6,0.93,4
500KV-BYQ-002,2024-06-01 00:27:00,A,1183.6,404.9,91.6,75.0,0.92,1
500KV-BYQ-002,2024-06-01 00:27:00,B,1218.2,454.8,79.2,69.9,0.92,1
500KV-BYQ-002,2024-06-01 00:27:00,C,1226.4,418.4,94.8,72.0,0.91,1
500KV-BYQ-003,2024-06-01 00:27:00,A,1254.5,431.1,92.9,67.2,0.92,2
500KV-BYQ-003,2024-06-01 00:27:00,B,1281.7,439.8,89.0,66.0,0.93,2
500KV-BYQ-003,2024-06-01 00:27:00,C,1249.7,428.5,93.2,75.0,0.93,2
500KV-BYQ-001,2024-06-01 00:28:00,A,1224.2,428.4,79.4,74.6,0.91,5
500KV-BYQ-001,2024-06-01 00:28:00,B,1289.7,434.6,94.8,70.7,0.94,5
500KV-BYQ-001,2024-06-01 00:28:00,C,1179.1,408.2,92.2,66.4,0.93,5
500KV-BYQ-002,2024-06-01 00:28:00,A,1236.5,453.3,91.3,72.1,0.94,4
500KV-BYQ-002,2024-06-01 00:28:00,B,1293.0,403.5,87.4,65.3,0.91,4
500KV-BYQ-002,2024-06-01 00:28:00,C,1317.6,398.9,87.5,67.2,0.9,4
500KV-BYQ-003,2024-06-01 00:28:00,A,1275.6,415.6,86.9,65.7,0.91,4
500KV-BYQ-003,2024-06-01 00:28:00,B,1293.5,445.5,94.2,72.2,0.91,4
500KV-BYQ-003,2024-06-01 00:28:00,C,1284.3,428.7,81.8,65.9,0.92,4
500KV-BYQ-001,2024-06-01 00:29:00,A,1297.6,412.6,79.8,65.7,0.9,5
500KV-BYQ-001,2024-06-01 00:29:00,B,1240.2,415.0,89.9,72.5,0.94,5
500KV-BYQ-001,2024-06-01 00:29:00,C,1242.6,419.7,91.8,71.6,0.95,5
500KV-BYQ-002,2024-06-01 00:29:00,A,1203.6,402.4,88.2,69.0,0.91,5
500KV-BYQ-002,2024-06-01 00:29:00,B,1286.9,406.4,83.6,74.5,0.94,5
500KV-BYQ-002,2024-06-01 00:29:00,C,1273.2,403.1,88.6,73.8,0.93,5
500KV-BYQ-003,2024-06-01 00:29:00,A,1268.3,399.5,81.9,67.2,0.91,4
500KV-BYQ-003,2024-06-01 00:29:00,B,1220.2,428.7,92.0,70.0,0.91,4
500KV-BYQ-003,2024-06-01 00:29:00,C,1191.3,413.1,86.0,71.1,0.9,4
500KV-BYQ-001,2024-06-01 00:30:00,A,1216.8,408.9,90.3,71.1,0.93,2
500KV-BYQ-001,2024-06-01 00:30:00,B,1219.2,400.2,91.1,73.3,0.94,2
500KV-BYQ-001,2024-06-01 00:30:00,C,1217.8,417.5,94.7,66.5,0.92,2
500KV-BYQ-002,2024-06-01 00:30:00,A,1316.7,415.5,84.9,68.5,0.92,2
500KV-BYQ-002,2024-06-01 00:30:00,B,1276.8,449.9,82.8,67.8,0.92,2
500KV-BYQ-002,2024-06-01 00:30:00,C,1263.4,409.9,87.7,70.4,0.92,2
500KV-BYQ-003,2024-06-01 00:30:00,A,1252.6,446.3,89.2,67.7,0.95,1
500KV-BYQ-003,2024-06-01 00:30:00,B,1305.4,429.1,88.3,69.7,0.93,1
500KV-BYQ-003,2024-06-01 00:30:00,C,1212.1,428.7,82.0,64.9,0.92,1
500KV-BYQ-001,2024-06-01 00:31:00,A,1275.5,426.1,86.6,66.3,0.91,4
500KV-BYQ-001,2024-06-01 00:31:00,B,1277.5,447.6,85.9,74.7,0.94,4
500KV-BYQ-001,2024-06-01 00:31:00,C,1247.3,452.8,82.6,72.5,0.92,4
500KV-BYQ-002,2024-06-01 00:31:00,A,1314.1,433.7,94.0,64.5,0.92,4
