变压器资产ID,产生时间（yyyy-MM-dd HH:mm:ss）,油温点位1（℃）,油温点位2（℃）
500KV-BYQ-001,2024-06-01 11:00:00,52.6,53.7
500KV-BYQ-002,2024-06-01 11:00:00,55.4,57.6
500KV-BYQ-003,2024-06-01 11:00:00,48.7,51.5
500KV-BYQ-001,2024-06-01 12:00:00,57.3,59.8
500KV-BYQ-002,2024-06-01 12:00:00,67.4,68.9
500KV-BYQ-003,2024-06-01 12:00:00,54.6,56.1
500KV-BYQ-001,2024-06-01 13:00:00,46.9,48.4
500KV-BYQ-002,2024-06-01 13:00:00,50.5,53.1
500KV-BYQ-003,2024-06-01 13:00:00,52.0,54.8
500KV-BYQ-001,2024-06-01 14:00:00,71.6,73
500KV-BYQ-002,2024-06-01 14:00:00,49.7,52.2
500KV-BYQ-003,2024-06-01 14:00:00,50.5,52.6
500KV-BYQ-001,2024-06-01 15:00:00,58.1,60.6
500KV-BYQ-002,2024-06-01 15:00:00,66.2,67.7
500KV-BYQ-003,2024-06-01 15:00:00,47.4,49.2
500KV-BYQ-001,2024-06-01 16:00:00,70.8,73
500KV-BYQ-002,2024-06-01 16:00:00,67.1,69.0
500KV-BYQ-003,2024-06-01 16:00:00,49.9,51.2
500KV-BYQ-001,2024-06-01 17:00:00,53.2,56.2
500KV-BYQ-002,2024-06-01 17:00:00,66.3,68.5
500KV-BYQ-003,2024-06-01 17:00:00,47.8,49.2
500KV-BYQ-001,2024-06-01 18:00:00,48.0,49.7
500KV-BYQ-002,2024-06-01 18:00:00,46.4,49.3
500KV-BYQ-003,2024-06-01 18:00:00,46.8,48.4
500KV-BYQ-001,2024-06-01 19:00:00,44.7,47.1
500KV-BYQ-002,2024-06-01 19:00:00,58.2,59.5
500KV-BYQ-003,2024-06-01 19:00:00,68.6,70.6
500KV-BYQ-001,2024-06-01 20:00:00,56.4,58.7
500KV-BYQ-002,2024-06-01 20:00:00,47.7,48.9
500KV-BYQ-003,2024-06-01 20:00:00,64.0,65.9
500KV-BYQ-001,2024-06-01 21:00:00,68.0,70.6
500KV-BYQ-002,2024-06-01 21:00:00,57.8,60.6
500KV-BYQ-003,2024-06-01 21:00:00,55.9,58.5
500KV-BYQ-001,2024-06-01 22:00:00,52.6,54.8
500KV-BYQ-002,2024-06-01 22:00:00,56.5,57.8
500KV-BYQ-003,2024-06-01 22:00:00,51.3,53.8
500KV-BYQ-001,2024-06-01 23:00:00,61.2,62.5
500KV-BYQ-002,2024-06-01 23:00:00,49.3,51.9
500KV-BYQ-003,2024-06-01 23:00:00,52.0,54.2
500KV-BYQ-001,2024-06-02 00:00:00,44.2,45.7
500KV-BYQ-002,2024-06-02 00:00:00,63.3,64.7
500KV-BYQ-003,2024-06-02 00:00:00,66.7,68.8
500KV-BYQ-001,2024-06-02 01:00:00,48.7,50.0
500KV-BYQ-002,2024-06-02 01:00:00,57.8,60.7
500KV-BYQ-003,2024-06-02 01:00:00,55.0,56.0
500KV-BYQ-001,2024-06-02 02:00:00,53.3,54.9
500KV-BYQ-002,2024-06-02 02:00:00,42.8,45.6
500KV-BYQ-003,2024-06-02 02:00:00,49.8,51.1
500KV-BYQ-001,2024-06-02 03:00:00,42.9,44.8
500KV-BYQ-002,2024-06-02 03:00:00,61.4,63.2
500KV-BYQ-003,2024-06-02 03:00:00,62.9,64.1
500KV-BYQ-001,2024-06-02 04:00:00,55.0,57.8
500KV-BYQ-002,2024-06-02 04:00:00,47.0,50.0
500KV-BYQ-003,2024-06-02 04:00:00,47.0,49.8
500KV-BYQ-001,2024-06-02 05:00:00,64.4,65.7
500KV-BYQ-002,2024-06-02 05:00:00,49.8,52.5
500KV-BYQ-003,2024-06-02 05:00:00,48.0,49.5
500KV-BYQ-001,2024-06-02 06:00:00,62.1,63.2
500KV-BYQ-002,2024-06-02 06:00:00,61.9,63.6
500KV-BYQ-003,2024-06-02 06:00:00,57.1,59.1
500KV-BYQ-001,2024-06-02 07:00:00,60.8,63.8
500KV-BYQ-002,2024-06-02 07:00:00,45.2,47.2
500KV-BYQ-003,2024-06-02 07:00:00,63.7,66.6
500KV-BYQ-001,2024-06-02 08:00:00,60.4,62.8
500KV-BYQ-002,2024-06-02 08:00:00,54.8,56.8
500KV-BYQ-003,2024-06-02 08:00:00,71.5,73.0
500KV-BYQ-001,2024-06-02 09:00:00,65.2,66.4
500KV-BYQ-002,2024-06-02 09:00:00,59.7,61.9
500KV-BYQ-003,2024-06-02 09:00:00,69.7,71.1
500KV-BYQ-001,2024-06-02 10:00:00,57.4,59.0
500KV-BYQ-002,2024-06-02 10:00:00,69.8,70.9
500KV-BYQ-003,2024-06-02 10:00:00,48.9,51.6
500KV-BYQ-001,2024-06-02 11:00:00,63.5,66.0
500KV-BYQ-002,2024-06-02 11:00:00,64.0,65.7
500KV-BYQ-003,2024-06-02 11:00:00,53.8,55.3
500KV-BYQ-001,2024-06-02 12:00:00,51.3,54.1
500KV-BYQ-002,2024-06-02 12:00:00,67.0,69.0
500KV-BYQ-003,2024-06-02 12:00:00,52.2,54.7
500KV-BYQ-001,2024-06-02 13:00:00,57.5,60.1
500KV-BYQ-002,2024-06-02 13:00:00,68.8,71.6
500KV-BYQ-003,2024-06-02 13:00:00,54.4,57.1
500KV-BYQ-001,2024-06-02 14:00:00,60.0,61.9
500KV-BYQ-002,2024-06-02 14:00:00,62.7,64.1
500KV-BYQ-003,2024-06-02 14:00:00,61.0,62.8
500KV-BYQ-001,2024-06-02 15:00:00,52.5,54.0
500KV-BYQ-002,2024-06-02 15:00:00,57.0,60.0
500KV-BYQ-003,2024-06-02 15:00:00,68.2,70.8
500KV-BYQ-001,2024-06-02 16:00:00,67.5,68.8
500KV-BYQ-002,2024-06-02 16:00:00,57.5,59.2
500KV-BYQ-003,2024-06-02 16:00:00,58.4,61.3
500KV-BYQ-001,2024-06-02 17:00:00,69.7,71.4
500KV-BYQ-002,2024-06-02 17:00:00,48.2,49.4
500KV-BYQ-003,2024-06-02 17:00:00,70.8,72.7
500KV-BYQ-001,2024-06-02 18:00:00,67.1,69.7
500KV-BYQ-002,2024-06-02 18:00:00,57.1,59.7
500KV-BYQ-003,2024-06-02 18:00:00,56.0,58.6
500KV-BYQ-001,2024-06-02 19:00:00,58.3,60.2
500KV-BYQ-002,2024-06-02 19:00:00,70.5,72.3
500KV-BYQ-003,2024-06-02 19:00:00,58.8,60.9
500KV-BYQ-001,2024-06-02 20:00:00,64.1,65.8
500KV-BYQ-002,2024-06-02 20:00:00,68.6,70.9
500KV-BYQ-003,2024-06-02 20:00:00,52.0,54.5
500KV-BYQ-001,2024-06-02 21:00:00,55.3,57.6
500KV-BYQ-002,2024-06-02 21:00:00,52.3,54.7
500KV-BYQ-003,2024-06-02 21:00:00,46.8,48.0
500KV-BYQ-001,2024-06-02 22:00:00,61.1,63.3
500KV-BYQ-002,2024-06-02 22:00:00,68.6,69.8
500KV-BYQ-003,2024-06-02 22:00:00,56.0,57.8
500KV-BYQ-001,2024-06-02 23:00:00,46.7,47.9
500KV-BYQ-002,2024-06-02 23:00:00,57.8,59.8
500KV-BYQ-003,2024-06-02 23:00:00,55.5,56.7
500KV-BYQ-001,2024-06-03 00:00:00,60.5,62.3
500KV-BYQ-002,2024-06-03 00:00:00,46.2,47.4
500KV-BYQ-003,2024-06-03 00:00:00,48.3,50.1
500KV-BYQ-001,2024-06-03 01:00:00,52.0,54.5
500KV-BYQ-002,2024-06-03 01:00:00,52.4,53.8
500KV-BYQ-003,2024-06-03 01:00:00,48.1,50.7
500KV-BYQ-001,2024-06-03 02:00:00,53.7,55.3
500KV-BYQ-002,2024-06-03 02:00:00,59.6,61.5
500KV-BYQ-003,2024-06-03 02:00:00,56.0,57.9
500KV-BYQ-001,2024-06-03 03:00:00,54.1,56.2
500KV-BYQ-002,2024-06-03 03:00:00,65.5,67.1
500KV-BYQ-003,2024-06-03 03:00:00,51.2,53.9
500KV-BYQ-001,2024-06-03 04:00:00,46.3,48.2
500KV-BYQ-002,2024-06-03 04:00:00,61.8,64.7
500KV-BYQ-003,2024-06-03 04:00:00,65.8,67.8
500KV-BYQ-001,2024-06-03 05:00:00,62.6,63.7
500KV-BYQ-002,2024-06-03 05:00:00,46.9,48.3
500KV-BYQ-003,2024-06-03 05:00:00,46.3,47.8
500KV-BYQ-001,2024-06-03 06:00:00,44.5,46.4
500KV-BYQ-002,2024-06-03 06:00:00,47.9,49.6
500KV-BYQ-003,2024-06-03 06:00:00,65.7,67.0
500KV-BYQ-001,2024-06-03 07:00:00,61.1,62.7
500KV-BYQ-002,2024-06-03 07:00:00,63.5,66.3
500KV-BYQ-003,2024-06-03 07:00:00,65.3,67.0
500KV-BYQ-001,2024-06-03 08:00:00,47.9,49.6
500KV-BYQ-002,2024-06-03 08:00:00,67.0,69.1
500KV-BYQ-003,2024-06-03 08:00:00,59.5,61.0
500KV-BYQ-001,2024-06-03 09:00:00,58.4,59.9
500KV-BYQ-002,2024-06-03 09:00:00,66.7,68.1
500KV-BYQ-003,2024-06-03 09:00:00,59.1,61.3
500KV-BYQ-001,2024-06-03 10:00:00,61.1,62.2
500KV-BYQ-002,2024-06-03 10:00:00,67.5,69.8
500KV-BYQ-003,2024-06-03 10:00:00,52.8,54.8
500KV-BYQ-001,2024-06-03 11:00:00,57.6,58.8
500KV-BYQ-002,2024-06-03 11:00:00,50.9,53.0
500KV-BYQ-003,2024-06-03 11:00:00,57.4,60.0
500KV-BYQ-001,2024-06-03 12:00:00,71.9,73
500KV-BYQ-002,2024-06-03 12:00:00,55.4,56.7
500KV-BYQ-003,2024-06-03 12:00:00,55.0,56.2
500KV-BYQ-001,2024-06-03 13:00:00,55.7,57.7
500KV-BYQ-002,2024-06-03 13:00:00,50.3,51.3
500KV-BYQ-003,2024-06-03 13:00:00,60.1,61.8
500KV-BYQ-001,2024-06-03 14:00:00,51.5,53.1
500KV-BYQ-002,2024-06-03 14:00:00,67.1,69.1
500KV-BYQ-003,2024-06-03 14:00:00,50.0,52.4
500KV-BYQ-001,2024-06-03 15:00:00,66.1,67.1
500KV-BYQ-002,2024-06-03 15:00:00,55.2,57.6
500KV-BYQ-003,2024-06-03 15:00:00,50.1,52.2
500KV-BYQ-001,2024-06-03 16:00:00,59.6,62.3
500KV-BYQ-002,2024-06-03 16:00:00,66.8,67.9
500KV-BYQ-003,2024-06-03 16:00:00,69.7,70.9
500KV-BYQ-001,2024-06-03 17:00:00,52.4,54.9
500KV-BYQ-002,2024-06-03 17:00:00,57.4,59.0
500KV-BYQ-003,2024-06-03 17:00:00,63.7,65.8
500KV-BYQ-001,2024-06-03 18:00:00,62.4,65.3
500KV-BYQ-002,2024-06-03 18:00:00,68.2,71.0
500KV-BYQ-003,2024-06-03 18:00:00,60.6,63.2
500KV-BYQ-001,2024-06-03 19:00:00,64.4,65.6
500KV-BYQ-002,2024-06-03 19:00:00,58.4,61.4
500KV-BYQ-003,2024-06-03 19:00:00,58.5,61.4
500KV-BYQ-001,2024-06-03 20:00:00,61.1,63.2
500KV-BYQ-002,2024-06-03 20:00:00,44.6,47.3
500KV-BYQ-003,2024-06-03 20:00:00,53.4,55.0
500KV-BYQ-001,2024-06-03 21:00:00,49.8,52.1
500KV-BYQ-002,2024-06-03 21:00:00,68.5,70.6
500KV-BYQ-003,2024-06-03 21:00:00,49.8,51.7
500KV-BYQ-001,2024-06-03 22:00:00,59.1,60.2
500KV-BYQ-002,2024-06-03 22:00:00,47.4,48.6
500KV-BYQ-003,2024-06-03 22:00:00,58.8,60.7
500KV-BYQ-001,2024-06-03 23:00:00,45.1,47.6
500KV-BYQ-002,2024-06-03 23:00:00,56.1,57.4
500KV-BYQ-003,2024-06-03 23:00:00,64.5,66.9
500KV-BYQ-001,2024-06-04 00:00:00,50.7,52.7
500KV-BYQ-002,2024-06-04 00:00:00,56.1,57.7
500KV-BYQ-003,2024-06-04 00:00:00,59.4,60.6
500KV-BYQ-001,2024-06-04 01:00:00,65.2,68.1
500KV-BYQ-002,2024-06-04 01:00:00,45.5,48.2
500KV-BYQ-003,2024-06-04 01:00:00,58.7,60.9
500KV-BYQ-001,2024-06-04 02:00:00,52.4,54.8
500KV-BYQ-002,2024-06-04 02:00:00,55.1,56.8
500KV-BYQ-003,2024-06-04 02:00:00,61.6,62.8
500KV-BYQ-001,2024-06-04 03:00:00,47.0,48.4
500KV-BYQ-002,2024-06-04 03:00:00,50.1,51.7
500KV-BYQ-003,2024-06-04 03:00:00,57.2,58.6
500KV-BYQ-001,2024-06-04 04:00:00,58.4,60.4
500KV-BYQ-002,2024-06-04 04:00:00,52.1,54.5
500KV-BYQ-003,2024-06-04 04:00:00,63.6,65.0
500KV-BYQ-001,2024-06-04 05:00:00,50.6,52.0
500KV-BYQ-002,2024-06-04 05:00:00,62.4,64.6
500KV-BYQ-003,2024-06-04 05:00:00,56.1,59.0
500KV-BYQ-001,2024-06-04 06:00:00,57.9,60.3
500KV-BYQ-002,2024-06-04 06:00:00,50.3,51.5
500KV-BYQ-003,2024-06-04 06:00:00,52.3,53.9
500KV-BYQ-001,2024-06-04 07:00:00,48.8,50.0
500KV-BYQ-002,2024-06-04 07:00:00,58.2,59.8
500KV-BYQ-003,2024-06-04 07:00:00,49.9,50.9
500KV-BYQ-001,2024-06-04 08:00:00,66.0,67.5
500KV-BYQ-002,2024-06-04 08:00:00,62.3,64.3
500KV-BYQ-003,2024-06-04 08:00:00,57.1,59.1
500KV-BYQ-001,2024-06-04 09:00:00,58.9,60.5
500KV-BYQ-002,2024-06-04 09:00:00,48.7,50.7
500KV-BYQ-003,2024-06-04 09:00:00,56.8,57.8
500KV-BYQ-001,2024-06-04 10:00:00,70.3,72.7
500KV-BYQ-002,2024-06-04 10:00:00,53.2,55.9
500KV-BYQ-003,2024-06-04 10:00:00,51.3,52.6
500KV-BYQ-001,2024-06-04 11:00:00,64.9,67.4
500KV-BYQ-002,2024-06-04 11:00:00,68.0,69.0
500KV-BYQ-003,2024-06-04 11:00:00,60.5,62.0
500KV-BYQ-001,2024-06-04 12:00:00,68.3,71.2
500KV-BYQ-002,2024-06-04 12:00:00,48.3,49.5
500KV-BYQ-003,2024-06-04 12:00:00,61.2,63.6
500KV-BYQ-001,2024-06-04 13:00:00,51.6,53.2
500KV-BYQ-002,2024-06-04 13:00:00,66.9,68.1
500KV-BYQ-003,2024-06-04 13:00:00,65.2,67.3
500KV-BYQ-001,2024-06-04 14:00:00,66.9,69.3
500KV-BYQ-002,2024-06-04 14:00:00,60.5,61.7
500KV-BYQ-003,2024-06-04 14:00:00,65.8,68.7
500KV-BYQ-001,2024-06-04 15:00:00,62.1,65.1
500KV-BYQ-002,2024-06-04 15:00:00,48.5,51.2
500KV-BYQ-003,2024-06-04 15:00:00,63.8,66.6
500KV-BYQ-001,2024-06-04 16:00:00,49.9,51.0
500KV-BYQ-002,2024-06-04 16:00:00,49.7,52.2
500KV-BYQ-003,2024-06-04 16:00:00,68.9,70.1
500KV-BYQ-001,2024-06-04 17:00:00,52.6,53.8
500KV-BYQ-002,2024-06-04 17:00:00,63.8,64.8
500KV-BYQ-003,2024-06-04 17:00:00,53.0,55.4
500KV-BYQ-001,2024-06-04 18:00:00,61.0,63.0
500KV-BYQ-002,2024-06-04 18:00:00,62.9,64.4
500KV-BYQ-003,2024-06-04 18:00:00,57.3,59.1
500KV-BYQ-001,2024-06-04 19:00:00,54.7,56.7
500KV-BYQ-002,2024-06-04 19:00:00,54.2,56.3
500KV-BYQ-003,2024-06-04 19:00:00,68.2,69.9
500KV-BYQ-001,2024-06-04 20:00:00,52.4,53.5
500KV-BYQ-002,2024-06-04 20:00:00,50.7,53.7
500KV-BYQ-003,2024-06-04 20:00:00,47.4,49.9
500KV-BYQ-001,2024-06-04 21:00:00,46.4,49.2
500KV-BYQ-002,2024-06-04 21:00:00,67.2,69.9
500KV-BYQ-003,2024-06-04 21:00:00,62.5,65.5
500KV-BYQ-001,2024-06-04 22:00:00,51.1,53.0
500KV-BYQ-002,2024-06-04 22:00:00,55.4,56.7
500KV-BYQ-003,2024-06-04 22:00:00,59.2,61.9
500KV-BYQ-001,2024-06-04 23:00:00,66.7,68.9
500KV-BYQ-002,2024-06-04 23:00:00,54.1,55.2
500KV-BYQ-003,2024-06-04 23:00:00,46.6,49.4
500KV-BYQ-001,2024-06-05 00:00:00,64.0,65.6
500KV-BYQ-002,2024-06-05 00:00:00,46.3,49.1
500KV-BYQ-003,2024-06-05 00:00:00,61.9,63.9
500KV-BYQ-001,2024-06-05 01:00:00,52.1,54.3
500KV-BYQ-002,2024-06-05 01:00:00,55.2,56.4
500KV-BYQ-003,2024-06-05 01:00:00,63.1,64.5
500KV-BYQ-001,2024-06-05 02:00:00,52.1,54.6
500KV-BYQ-002,2024-06-05 02:00:00,63.7,65.4
500KV-BYQ-003,2024-06-05 02:00:00,56.6,58.7
500KV-BYQ-001,2024-06-05 03:00:00,63.1,65.4
500KV-BYQ-002,2024-06-05 03:00:00,65.0,67.9
500KV-BYQ-003,2024-06-05 03:00:00,47.8,49.9
500KV-BYQ-001,2024-06-05 04:00:00,48.3,50.3
500KV-BYQ-002,2024-06-05 04:00:00,48.0,50.3
500KV-BYQ-003,2024-06-05 04:00:00,57.8,59.7
500KV-BYQ-001,2024-06-05 05:00:00,63.2,65.5
500KV-BYQ-002,2024-06-05 05:00:00,48.0,50.2
500KV-BYQ-003,2024-06-05 05:00:00,60.2,61.6
500KV-BYQ-001,2024-06-05 06:00:00,64.1,66.1
500KV-BYQ-002,2024-06-05 06:00:00,58.5,60.3
500KV-BYQ-003,2024-06-05 06:00:00,48.7,50.0
500KV-BYQ-001,2024-06-05 07:00:00,60.6,63.6
500KV-BYQ-002,2024-06-05 07:00:00,64.7,67.5
500KV-BYQ-003,2024-06-05 07:00:00,59.2,61.8
500KV-BYQ-001,2024-06-05 08:00:00,47.9,50.1
500KV-BYQ-002,2024-06-05 08:00:00,68.0,69.4
500KV-BYQ-003,2024-06-05 08:00:00,56.5,58.7
500KV-BYQ-001,2024-06-05 09:00:00,63.6,65.9
500KV-BYQ-002,2024-06-05 09:00:00,57.3,60.1
500KV-BYQ-003,2024-06-05 09:00:00,58.0,59.5
500KV-BYQ-001,2024-06-05 10:00:00,48.7,50.8
500KV-BYQ-002,2024-06-05 10:00:00,66.8,68.2
500KV-BYQ-003,2024-06-05 10:00:00,65.4,67.5
500KV-BYQ-001,2024-06-05 11:00:00,47.9,50.8
500KV-BYQ-002,2024-06-05 11:00:00,50.2,51.8
500KV-BYQ-003,2024-06-05 11:00:00,56.0,57.2
500KV-BYQ-001,2024-06-05 12:00:00,60.4,62.4
500KV-BYQ-002,2024-06-05 12:00:00,64.0,66.0
500KV-BYQ-003,2024-06-05 12:00:00,62.0,64.6
500KV-BYQ-001,2024-06-05 13:00:00,59.2,61.9
500KV-BYQ-002,2024-06-05 13:00:00,52.0,54.7
500KV-BYQ-003,2024-06-05 13:00:00,65.5,66.8
500KV-BYQ-001,2024-06-05 14:00:00,50.4,51.5
500KV-BYQ-002,2024-06-05 14:00:00,61.4,62.8
500KV-BYQ-003,2024-06-05 14:00:00,67.4,69.3
500KV-BYQ-001,2024-06-05 15:00:00,67.6,68.8
500KV-BYQ-002,2024-06-05 15:00:00,50.1,52.2
500KV-BYQ-003,2024-06-05 15:00:00,67.9,69.8
500KV-BYQ-001,2024-06-05 16:00:00,57.7,60.5
500KV-BYQ-002,2024-06-05 16:00:00,57.7,59.5
500KV-BYQ-003,2024-06-05 16:00:00,67.1,69.3
500KV-BYQ-001,2024-06-05 17:00:00,57.4,59.7
500KV-BYQ-002,2024-06-05 17:00:00,61.8,64.4
500KV-BYQ-003,2024-06-05 17:00:00,58.3,61.2
500KV-BYQ-001,2024-06-05 18:00:00,63.4,65.5
500KV-BYQ-002,2024-06-05 18:00:00,46.6,48.9
500KV-BYQ-003,2024-06-05 18:00:00,63.9,65.2
500KV-BYQ-001,2024-06-05 19:00:00,56.9,59.2
500KV-BYQ-002,2024-06-05 19:00:00,53.4,55.8
500KV-BYQ-003,2024-06-05 19:00:00,54.5,57.0
500KV-BYQ-001,2024-06-05 20:00:00,54.1,56.6
500KV-BYQ-002,2024-06-05 20:00:00,61.3,62.5
500KV-BYQ-003,2024-06-05 20:00:00,53.5,55.9
500KV-BYQ-001,2024-06-05 21:00:00,64.7,65.9
500KV-BYQ-002,2024-06-05 21:00:00,63.3,65.4
500KV-BYQ-003,2024-06-05 21:00:00,64.7,67.3
500KV-BYQ-001,2024-06-05 22:00:00,67.4,69.1
500KV-BYQ-002,2024-06-05 22:00:00,67.3,69.1
500KV-BYQ-003,2024-06-05 22:00:00,67.8,70.0
500KV-BYQ-001,2024-06-05 23:00:00,66.9,67.9
500KV-BYQ-002,2024-06-05 23:00:00,65.5,66.8
500KV-BYQ-003,2024-06-05 23:00:00,56.5,59.2
500KV-BYQ-001,2024-06-06 00:00:00,47.3,48.6
500KV-BYQ-002,2024-06-06 00:00:00,63.9,65.5
500KV-BYQ-003,2024-06-06 00:00:00,67.1,69.3
500KV-BYQ-001,2024-06-06 01:00:00,65.0,67.2
500KV-BYQ-002,2024-06-06 01:00:00,65.6,67.8
500KV-BYQ-003,2024-06-06 01:00:00,53.8,55.8
500KV-BYQ-001,2024-06-06 02:00:00,65.4,68.1
500KV-BYQ-002,2024-06-06 02:00:00,64.1,66.5
500KV-BYQ-003,2024-06-06 02:00:00,47.5,49.5
500KV-BYQ-001,2024-06-06 03:00:00,50.0,51.3
500KV-BYQ-002,2024-06-06 03:00:00,63.5,65.9
500KV-BYQ-003,2024-06-06 03:00:00,60.4,61.8
500KV-BYQ-001,2024-06-06 04:00:00,45.9,47.3
500KV-BYQ-002,2024-06-06 04:00:00,48.6,50.8
500KV-BYQ-003,2024-06-06 04:00:00,55.4,56.9
500KV-BYQ-001,2024-06-06 05:00:00,50.8,52.8
500KV-BYQ-002,2024-06-06 05:00:00,58.9,60.5
500KV-BYQ-003,2024-06-06 05:00:00,56.1,59.1
500KV-BYQ-001,2024-06-06 06:00:00,51.0,52.8
500KV-BYQ-002,2024-06-06 06:00:00,42.8,44.7
500KV-BYQ-003,2024-06-06 06:00:00,48.0,50.5
500KV-BYQ-001,2024-06-06 07:00:00,46.5,47.9
500KV-BYQ-002,2024-06-06 07:00:00,53.6,55.3
500KV-BYQ-003,2024-06-06 07:00:00,46.4,48.9
500KV-BYQ-001,2024-06-06 08:00:00,70.1,71.6
500KV-BYQ-002,2024-06-06 08:00:00,59.3,61.4
500KV-BYQ-003,2024-06-06 08:00:00,60.6,63.3
500KV-BYQ-001,2024-06-06 09:00:00,55.5,58.3
500KV-BYQ-002,2024-06-06 09:00:00,49.8,51.3
500KV-BYQ-003,2024-06-06 09:00:00,51.0,53.2
500KV-BYQ-001,2024-06-06 10:00:00,62.5,63.7
500KV-BYQ-002,2024-06-06 10:00:00,47.0,50.0
500KV-BYQ-003,2024-06-06 10:00:00,63.8,64.9
500KV-BYQ-001,2024-06-06 11:00:00,47.8,49.3
500KV-BYQ-002,2024-06-06 11:00:00,55.2,57.5
500KV-BYQ-003,2024-06-06 11:00:00,58.6,61.2
500KV-BYQ-001,2024-06-06 12:00:00,69.8,72.6
500KV-BYQ-002,2024-06-06 12:00:00,57.4,59.1
500KV-BYQ-003,2024-06-06 12:00:00,54.4,57.1
500KV-BYQ-001,2024-06-06 13:00:00,69.3,71.4
500KV-BYQ-002,2024-06-06 13:00:00,48.9,50.7
500KV-BYQ-003,2024-06-06 13:00:00,51.3,54.3
500KV-BYQ-001,2024-06-06 14:00:00,71.8,73
500KV-BYQ-002,2024-06-06 14:00:00,55.9,57.1
500KV-BYQ-003,2024-06-06 14:00:00,57.7,59.2
500KV-BYQ-001,2024-06-06 15:00:00,65.2,67.8
500KV-BYQ-002,2024-06-06 15:00:00,53.2,54.2
500KV-BYQ-003,2024-06-06 15:00:00,64.6,67.1
500KV-BYQ-001,2024-06-06 16:00:00,60.5,61.8
500KV-BYQ-002,2024-06-06 16:00:00,52.3,54.2
500KV-BYQ-003,2024-06-06 16:00:00,47.9,50.0
500KV-BYQ-001,2024-06-06 17:00:00,57.7,59.1
500KV-BYQ-002,2024-06-06 17:00:00,67.9,69.2
500KV-BYQ-003,2024-06-06 17:00:00,55.0,57.2
500KV-BYQ-001,2024-06-06 18:00:00,49.8,51.2
500KV-BYQ-002,2024-06-06 18:00:00,56.5,59.5
500KV-BYQ-003,2024-06-06 18:00:00,54.7,55.9
500KV-BYQ-001,2024-06-06 19:00:00,48.5,50.4
500KV-BYQ-002,2024-06-06 19:00:00,54.0,56.5
500KV-BYQ-003,2024-06-06 19:00:00,52.2,54.6
500KV-BYQ-001,2024-06-06 20:00:00,65.7,67.4
500KV-BYQ-002,2024-06-06 20:00:00,69.9,71.4
500KV-BYQ-003,2024-06-06 20:00:00,61.2,63.6
500KV-BYQ-001,2024-06-06 21:00:00,66.9,69.5
500KV-BYQ-002,2024-06-06 21:00:00,56.1,57.4
500KV-BYQ-003,2024-06-06 21:00:00,54.8,57.2
500KV-BYQ-001,2024-06-06 22:00:00,58.5,61.2
500KV-BYQ-002,2024-06-06 22:00:00,58.6,60.8
500KV-BYQ-003,2024-06-06 22:00:00,63.5,65.4
500KV-BYQ-001,2024-06-06 23:00:00,62.1,64.2
500KV-BYQ-002,2024-06-06 23:00:00,60.4,61.4
500KV-BYQ-003,2024-06-06 23:00:00,64.1,66.8
500KV-BYQ-001,2024-06-07 00:00:00,52.3,53.4
500KV-BYQ-002,2024-06-07 00:00:00,56.7,59.3
