变压器资产ID,相位,数据时间,氢气(μL/L),甲烷(μL/L),乙烷(μL/L),乙烯(μL/L),乙炔(μL/L),一氧化碳(μL/L),二氧化碳(μL/L),总烃(μL/L),运行状态,数据质量
500KV-2号主变压器,A相,2024-06-11 00:00:00,194.66,8.17,11.99,5.9,0.14,1061.7,2252.6,26.58,注意,良好
500KV-3号主变压器,A相,2024-06-11 00:00:00,202.3,11.06,1.24,1.93,1.3,1435.9,2223.4,15.33,注意,良好
500KV-1号主变压器,A相,2024-06-12 00:00:00,35.78,10.67,30.52,1.23,1.43,789.6,3214.9,42.82,注意,一般
500KV-2号主变压器,A相,2024-06-12 00:00:00,146.76,3.92,22.94,20.42,0.16,266.7,1797.3,48.29,注意,良好
500KV-3号主变压器,A相,2024-06-12 00:00:00,23.06,7.21,17.71,16.82,1.29,545.3,2836.0,43.67,注意,良好
500KV-1号主变压器,A相,2024-06-13 00:00:00,43.2,3.38,14.0,14.36,0.94,461.8,1289.9,31.59,注意,良好
500KV-2号主变压器,A相,2024-06-13 00:00:00,46.07,3.21,12.73,17.47,0.32,1136.6,2335.2,32.19,注意,良好
500KV-3号主变压器,A相,2024-06-13 00:00:00,216.19,6.94,18.67,0.65,0.36,430.5,2975.3,25.99,注意,差
500KV-1号主变压器,A相,2024-06-14 00:00:00,78.12,10.9,31.62,11.32,0.01,400.1,2439.5,51.71,注意,差
500KV-2号主变压器,A相,2024-06-14 00:00:00,89.12,11.34,27.87,10.49,0.13,247.0,2965.4,49.02,注意,良好
500KV-3号主变压器,A相,2024-06-14 00:00:00,56.1,7.68,21.0,20.77,0.55,879.3,2768.4,52.15,注意,良好
500KV-1号主变压器,A相,2024-06-15 00:00:00,206.16,10.44,25.98,20.73,9.13,1155.9,2518.3,69.1,注意,良好
500KV-2号主变压器,A相,2024-06-15 00:00:00,92.25,4.6,27.53,0.91,0.54,1155.7,1028.9,33.36,注意,一般
500KV-3号主变压器,A相,2024-06-15 00:00:00,253.26,5.08,18.65,0.94,1.34,343.0,3129.2,27.3,注意,良好
500KV-1号主变压器,A相,2024-06-16 00:00:00,181.42,14.55,18.58,11.54,0.98,846.7,839.3,47.93,注意,差
500KV-2号主变压器,A相,2024-06-16 00:00:00,111.92,14.52,11.41,0.86,0.76,900.2,3347.5,27.74,注意,良好
500KV-3号主变压器,A相,2024-06-16 00:00:00,132.04,13.12,27.35,8.95,0.62,1248.6,3617.3,51.5,注意,良好
500KV-1号主变压器,A相,2024-06-17 00:00:00,6.97,14.03,16.78,3.42,1.31,1332.9,2261.2,35.0,注意,良好
500KV-2号主变压器,A相,2024-06-17 00:00:00,145.98,10.84,23.06,21.01,0.6,996.4,883.4,54.99,注意,良好
500KV-3号主变压器,A相,2024-06-17 00:00:00,206.83,3.38,27.39,1.33,0.52,575.8,1513.7,32.53,注意,良好
500KV-1号主变压器,A相,2024-06-18 00:00:00,211.38,12.14,11.18,9.43,0.59,331.4,2423.8,31.76,注意,一般
500KV-2号主变压器,A相,2024-06-18 00:00:00,113.29,5.19,15.05,4.95,0.08,1156.1,1346.9,24.87,注意,一般
500KV-3号主变压器,A相,2024-06-18 00:00:00,129.38,5.09,3.12,17.95,0.14,655.5,2735.0,25.41,注意,良好
500KV-1号主变压器,A相,2024-06-19 00:00:00,184.24,4.44,28.5,13.85,0.03,904.0,2638.4,44.73,注意,良好
500KV-2号主变压器,A相,2024-06-19 00:00:00,207.39,11.2,20.01,10.63,0.1,1250.1,1125.9,43.01,注意,良好
500KV-3号主变压器,A相,2024-06-19 00:00:00,143.46,5.07,3.53,8.18,0.03,1320.4,1576.5,17.35,注意,一般
500KV-1号主变压器,A相,2024-06-20 00:00:00,60.76,5.43,27.41,11.87,0.2,1332.6,1810.9,46.74,注意,良好
500KV-2号主变压器,A相,2024-06-20 00:00:00,142.96,10.84,7.8,8.1,0.09,460.7,866.0,26.04,注意,良好
500KV-3号主变压器,A相,2024-06-20 00:00:00,33.46,13.78,5.8,6.5,0.91,1089.2,2541.3,28.14,注意,良好
500KV-1号主变压器,A相,2024-06-21 00:00:00,226.96,10.56,17.96,4.1,0.03,1132.4,3028.9,31.51,注意,良好
500KV-2号主变压器,A相,2024-06-21 00:00:00,88.59,9.54,8.81,12.84,0.02,1514.3,2538.0,30.66,注意,差
500KV-3号主变压器,A相,2024-06-21 00:00:00,199.31,2.94,5.21,3.64,0.26,432.6,1980.6,12.07,注意,良好
500KV-1号主变压器,A相,2024-06-22 00:00:00,126.75,7.2,19.28,21.09,1.23,1297.5,2720.8,48.0,注意,良好
500KV-2号主变压器,A相,2024-06-22 00:00:00,164.47,13.39,17.17,7.14,0.44,392.8,1543.3,39.73,注意,良好
500KV-3号主变压器,A相,2024-06-22 00:00:00,78.81,9.94,6.95,2.16,1.21,374.3,2239.7,21.09,注意,良好
500KV-1号主变压器,A相,2024-06-23 00:00:00,151.13,12.1,12.38,8.73,0.21,1082.7,1354.4,32.18,注意,良好
500KV-2号主变压器,A相,2024-06-23 00:00:00,134.05,5.74,27.08,11.05,0.25,1126.8,2083.7,42.59,注意,良好
500KV-3号主变压器,A相,2024-06-23 00:00:00,168.99,7.2,13.48,3.32,0.11,1330.1,2321.0,23.73,注意,一般
500KV-1号主变压器,A相,2024-06-24 00:00:00,58.09,14.19,28.66,15.15,0.96,289.3,1313.8,56.92,注意,良好
500KV-2号主变压器,A相,2024-06-24 00:00:00,94.01,8.93,9.7,8.47,1.36,1177.3,1560.1,27.22,注意,良好
500KV-3号主变压器,A相,2024-06-24 00:00:00,197.3,13.25,11.42,9.45,0.91,508.7,2504.8,35.11,注意,一般
500KV-1号主变压器,A相,2024-06-25 00:00:00,24.35,14.24,16.94,4.32,0.81,935.1,2646.9,36.74,注意,良好
500KV-2号主变压器,A相,2024-06-25 00:00:00,231.29,12.92,24.93,11.57,0.03,1392.2,1466.3,47.12,注意,良好
500KV-3号主变压器,A相,2024-06-25 00:00:00,77.42,12.29,28.54,17.55,0.17,1122.9,2503.3,56.95,注意,良好
500KV-1号主变压器,A相,2024-06-26 00:00:00,133.14,10.24,19.81,3.72,0.28,211.2,2426.7,35.32,注意,良好
500KV-2号主变压器,A相,2024-06-26 00:00:00,112.89,12.27,13.31,14.1,0.84,1065.9,1376.1,41.91,注意,一般
500KV-3号主变压器,A相,2024-06-26 00:00:00,153.41,11.13,2.22,10.96,1.21,973.6,814.5,25.76,注意,良好
500KV-1号主变压器,A相,2024-06-27 00:00:00,14.61,11.98,7.67,19.19,0.99,750.2,3009.3,38.63,注意,良好
500KV-2号主变压器,A相,2024-06-27 00:00:00,49.52,6.72,10.1,14.5,1.01,1199.5,3908.2,31.11,注意,良好
500KV-3号主变压器,A相,2024-06-27 00:00:00,208.93,5.89,13.77,4.68,0.63,445.9,1298.1,25.06,注意,良好
500KV-1号主变压器,A相,2024-06-28 00:00:00,118.84,6.28,23.83,11.09,0.17,269.8,3177.8,40.83,注意,良好
500KV-2号主变压器,A相,2024-06-28 00:00:00,199.58,11.69,10.03,13.8,0.73,507.8,1765.3,36.14,注意,良好
500KV-3号主变压器,A相,2024-06-28 00:00:00,190.12,10.51,6.56,4.34,0.23,1055.5,2969.6,20.87,注意,良好
500KV-1号主变压器,A相,2024-06-29 00:00:00,6.11,8.16,20.01,12.86,1.09,363.3,1549.4,44.18,注意,良好
500KV-2号主变压器,A相,2024-06-29 00:00:00,90.37,7.95,16.59,5.5,0.88,766.9,2825.5,32.3,注意,良好
500KV-3号主变压器,A相,2024-06-29 00:00:00,140.87,14.07,36.77,6.11,0.65,1099.6,2544.5,54.85,注意,良好
500KV-1号主变压器,A相,2024-06-30 00:00:00,106.74,9.97,1.44,0.93,0.15,619.6,2297.1,12.2,注意,良好
500KV-2号主变压器,A相,2024-06-30 00:00:00,242.28,11.24,12.89,5.65,0.6,700.7,3358.8,29.09,注意,良好
500KV-3号主变压器,A相,2024-06-30 00:00:00,119.18,6.21,15.39,7.88,0.38,958.3,3263.8,29.51,注意,良好
500KV-1号主变压器,A相,2024-07-01 00:00:00,181.48,4.19,19.28,6.7,0.43,477.3,1980.1,31.89,注意,良好
500KV-2号主变压器,A相,2024-07-01 00:00:00,87.1,8.64,16.08,12.63,0.7,895.6,2072.2,38.44,注意,良好
500KV-3号主变压器,A相,2024-07-01 00:00:00,108.0,9.91,5.29,14.46,0.11,731.4,2745.9,30.05,注意,良好
500KV-1号主变压器,A相,2024-07-02 00:00:00,96.6,14.11,27.2,9.59,0.1,1153.7,2593.6,52.82,注意,良好
500KV-2号主变压器,A相,2024-07-02 00:00:00,112.99,8.17,25.22,9.71,0.29,766.1,1053.7,43.04,注意,良好
500KV-3号主变压器,A相,2024-07-02 00:00:00,212.09,12.24,29.06,9.24,0.22,1007.4,1368.5,50.32,注意,良好
500KV-1号主变压器,A相,2024-07-03 00:00:00,41.65,9.2,30.68,14.38,1.24,1248.9,2402.4,56.35,注意,良好
500KV-2号主变压器,A相,2024-07-03 00:00:00,14.01,4.66,24.89,1.35,0.14,1346.4,1319.7,31.45,注意,良好
500KV-3号主变压器,A相,2024-07-03 00:00:00,69.21,12.02,22.36,4.59,0.38,464.7,983.1,40.79,注意,一般
500KV-1号主变压器,A相,2024-07-04 00:00:00,89.28,14.86,1.74,23.0,0.0,944.1,1889.7,41.39,注意,良好
500KV-2号主变压器,A相,2024-07-04 00:00:00,88.39,8.74,4.32,7.99,0.07,962.2,3119.0,20.78,注意,良好
500KV-3号主变压器,A相,2024-07-04 00:00:00,37.53,8.72,15.13,18.83,0.11,1242.2,3058.9,42.13,注意,良好
500KV-1号主变压器,A相,2024-07-05 00:00:00,15.7,10.23,28.06,1.03,0.83,992.2,2873.1,41.0,注意,良好
500KV-2号主变压器,A相,2024-07-05 00:00:00,115.43,2.98,21.0,16.38,0.07,1328.4,1798.8,39.62,注意,一般
500KV-3号主变压器,A相,2024-07-05 00:00:00,140.24,4.19,26.69,4.47,0.83,1036.6,2867.0,35.64,注意,良好
500KV-1号主变压器,A相,2024-07-06 00:00:00,232.48,3.02,3.12,0.72,1.48,831.9,3747.7,8.71,注意,良好
500KV-2号主变压器,A相,2024-07-06 00:00:00,216.96,4.14,20.2,9.56,0.31,722.2,929.6,32.69,注意,良好
500KV-3号主变压器,A相,2024-07-06 00:00:00,177.97,10.59,16.73,0.83,0.64,1315.4,2966.4,28.24,注意,良好
500KV-1号主变压器,A相,2024-07-07 00:00:00,39.16,3.54,1.72,8.64,0.17,1259.8,1553.4,14.64,注意,良好
500KV-2号主变压器,A相,2024-07-07 00:00:00,199.34,8.35,12.3,14.01,0.05,1323.4,2477.4,33.7,注意,良好
500KV-3号主变压器,A相,2024-07-07 00:00:00,176.07,4.41,28.57,3.01,0.68,593.9,2002.6,38.48,注意,良好
500KV-1号主变压器,A相,2024-07-08 00:00:00,9.07,12.4,22.37,0.28,0.68,430.9,2524.9,36.9,注意,良好
500KV-2号主变压器,A相,2024-07-08 00:00:00,194.75,9.95,24.74,6.21,0.47,296.9,917.4,43.43,注意,差
500KV-3号主变压器,A相,2024-07-08 00:00:00,148.77,14.46,1.27,9.75,0.15,819.5,887.9,26.08,注意,一般
500KV-1号主变压器,A相,2024-07-09 00:00:00,209.8,6.33,2.27,8.53,0.64,402.4,1194.4,17.78,注意,一般
500KV-2号主变压器,A相,2024-07-09 00:00:00,176.23,5.49,25.6,11.07,0.32,1320.1,2189.0,44.58,注意,良好
500KV-3号主变压器,A相,2024-07-09 00:00:00,185.46,3.8,17.12,15.85,0.23,390.5,1075.8,36.81,注意,良好
500KV-1号主变压器,A相,2024-07-10 00:00:00,164.91,6.47,25.05,13.28,0.02,231.3,2553.0,43.67,注意,良好
500KV-2号主变压器,A相,2024-07-10 00:00:00,240.68,8.68,16.04,9.57,0.69,219.0,1554.6,33.71,注意,良好
500KV-3号主变压器,A相,2024-07-10 00:00:00,160.37,10.23,12.16,14.09,0.18,522.2,1268.8,36.32,注意,良好
500KV-1号主变压器,A相,2024-07-11 00:00:00,55.84,14.25,3.86,13.97,0.26,914.0,2884.7,33.71,注意,差
500KV-2号主变压器,A相,2024-07-11 00:00:00,239.99,8.35,30.58,15.83,0.2,579.1,2594.8,56.6,注意,良好
500KV-3号主变压器,A相,2024-07-11 00:00:00,71.41,4.21,3.04,5.75,0.61,1037.1,2527.2,13.98,注意,良好
500KV-1号主变压器,A相,2024-07-12 00:00:00,165.93,7.11,18.7,10.09,0.58,946.3,2675.4,35.31,注意,一般
500KV-2号主变压器,A相,2024-07-12 00:00:00,222.43,13.07,1.71,8.84,0.42,839.6,2270.6,24.88,注意,一般
500KV-3号主变压器,A相,2024-07-12 00:00:00,25.86,8.96,0.95,12.42,0.05,334.3,2832.5,21.51,注意,良好
500KV-1号主变压器,A相,2024-07-13 00:00:00,150.23,11.92,10.18,7.7,0.05,1235.4,1857.6,31.07,注意,良好
500KV-2号主变压器,A相,2024-07-13 00:00:00,159.74,7.14,23.64,16.31,0.4,944.7,3102.3,45.82,注意,差
500KV-3号主变压器,A相,2024-07-13 00:00:00,12.56,6.75,11.23,6.02,0.19,394.8,768.1,24.27,注意,良好
500KV-1号主变压器,A相,2024-07-14 00:00:00,150.35,11.65,16.95,17.55,0.33,948.4,2784.8,47.71,注意,良好
500KV-2号主变压器,A相,2024-07-14 00:00:00,35.37,7.25,16.56,13.43,0.84,1249.2,2991.4,38.24,注意,良好
500KV-3号主变压器,A相,2024-07-14 00:00:00,13.34,11.34,21.75,14.1,0.08,573.7,3725.4,47.73,注意,良好
500KV-1号主变压器,A相,2024-07-15 00:00:00,209.82,13.41,20.23,3.75,0.44,1263.1,2213.3,36.83,注意,良好
500KV-2号主变压器,A相,2024-07-15 00:00:00,106.32,3.92,14.04,6.19,0.22,742.1,2846.6,23.22,注意,良好
500KV-3号主变压器,A相,2024-07-15 00:00:00,8.45,5.56,7.4,2.35,0.98,268.8,2796.5,15.78,正常,良好
500KV-1号主变压器,A相,2024-07-16 00:00:00,56.95,6.52,1.5,14.67,0.65,222.8,1069.8,23.24,注意,良好
500KV-2号主变压器,A相,2024-07-16 00:00:00,122.75,6.89,23.65,12.22,0.34,930.7,2352.3,44.24,注意,差
500KV-3号主变压器,A相,2024-07-16 00:00:00,35.76,6.58,23.58,16.83,0.89,379.0,770.7,50.0,注意,差
500KV-1号主变压器,A相,2024-07-17 00:00:00,187.9,11.99,24.45,13.81,0.28,452.4,3160.7,50.96,注意,良好
500KV-2号主变压器,A相,2024-07-17 00:00:00,90.98,4.99,12.35,13.63,0.42,1268.2,1814.6,30.89,注意,良好
500KV-3号主变压器,A相,2024-07-17 00:00:00,81.66,8.23,10.04,2.85,0.94,566.0,1566.1,22.6,注意,良好
500KV-1号主变压器,A相,2024-07-18 00:00:00,66.92,11.02,28.56,2.23,1.12,1076.7,2706.6,44.67,注意,良好
500KV-2号主变压器,A相,2024-07-18 00:00:00,104.96,13.92,26.76,9.75,0.16,676.8,3028.8,48.43,注意,一般
500KV-3号主变压器,A相,2024-07-18 00:00:00,72.6,12.9,23.38,8.51,0.8,622.4,2951.2,45.11,注意,良好
500KV-1号主变压器,A相,2024-07-19 00:00:00,227.52,8.84,9.38,12.11,0.07,1348.3,1828.3,31.1,注意,良好
500KV-2号主变压器,A相,2024-07-19 00:00:00,182.4,13.08,23.17,18.16,0.66,1067.3,798.9,53.81,注意,良好
500KV-3号主变压器,A相,2024-07-19 00:00:00,201.43,6.59,7.97,3.65,0.58,998.7,2300.5,19.26,注意,良好
500KV-1号主变压器,A相,2024-07-20 00:00:00,217.52,4.62,16.3,17.84,0.34,647.5,1072.3,40.27,注意,良好
500KV-2号主变压器,A相,2024-07-20 00:00:00,37.79,3.18,19.89,10.97,0.18,248.9,3169.9,34.11,注意,良好
500KV-3号主变压器,A相,2024-07-20 00:00:00,79.98,5.41,19.97,1.18,0.0,1341.1,2447.3,27.52,注意,良好
500KV-1号主变压器,A相,2024-07-21 00:00:00,59.03,4.64,24.17,16.44,0.55,1284.4,2464.4,46.94,注意,一般
500KV-2号主变压器,A相,2024-07-21 00:00:00,139.89,9.45,2.7,4.54,0.59,972.4,1705.6,16.57,注意,良好
500KV-3号主变压器,A相,2024-07-21 00:00:00,150.77,3.42,15.67,3.07,0.16,958.2,3338.8,21.25,注意,一般
500KV-1号主变压器,A相,2024-07-22 00:00:00,82.11,5.61,18.28,10.82,1.04,867.4,3279.9,36.95,注意,良好
500KV-2号主变压器,A相,2024-07-22 00:00:00,222.09,11.8,19.66,9.69,0.63,347.1,2726.5,42.82,注意,良好
500KV-3号主变压器,A相,2024-07-22 00:00:00,228.57,7.2,0.86,3.14,0.46,673.8,3593.8,11.17,注意,良好
500KV-1号主变压器,A相,2024-07-23 00:00:00,157.69,6.99,12.22,7.75,0.77,977.5,2166.0,26.9,注意,良好
500KV-2号主变压器,A相,2024-07-23 00:00:00,143.41,9.93,20.27,0.7,0.26,1065.2,2727.2,31.15,注意,良好
500KV-3号主变压器,A相,2024-07-23 00:00:00,203.08,8.4,26.61,12.83,0.03,403.2,3279.3,47.26,注意,良好
500KV-1号主变压器,A相,2024-07-24 00:00:00,208.4,8.84,23.85,4.43,0.1,1292.3,914.0,37.31,注意,良好
500KV-2号主变压器,A相,2024-07-24 00:00:00,124.62,6.78,24.52,5.85,0.18,1156.8,2376.6,38.14,注意,良好
500KV-3号主变压器,A相,2024-07-24 00:00:00,92.13,10.75,6.51,2.25,0.23,812.7,1576.8,18.97,注意,一般
500KV-1号主变压器,A相,2024-07-25 00:00:00,53.15,13.06,14.86,9.63,0.03,235.3,2825.6,38.67,注意,差
500KV-2号主变压器,A相,2024-07-25 00:00:00,44.5,6.72,31.63,10.25,0.21,1278.8,1899.2,50.82,注意,良好
500KV-3号主变压器,A相,2024-07-25 00:00:00,126.69,14.68,21.03,2.48,0.06,1102.6,3253.8,38.94,注意,良好
500KV-1号主变压器,A相,2024-07-26 00:00:00,122.71,4.93,28.61,9.6,0.12,533.4,3555.9,41.46,注意,良好
500KV-2号主变压器,A相,2024-07-26 00:00:00,85.04,3.84,28.58,1.9,0.4,881.1,1694.3,33.29,注意,良好
500KV-3号主变压器,A相,2024-07-26 00:00:00,169.8,7.33,26.57,1.19,0.11,1152.6,1362.1,34.87,注意,良好
500KV-1号主变压器,A相,2024-07-27 00:00:00,154.17,10.24,15.22,8.44,0.15,1254.8,2057.2,33.92,注意,一般
500KV-2号主变压器,A相,2024-07-27 00:00:00,37.93,5.7,31.81,20.2,0.43,852.1,2316.2,55.69,注意,良好
500KV-3号主变压器,A相,2024-07-27 00:00:00,248.69,14.7,13.2,8.45,0.49,844.7,2697.1,38.26,注意,一般
500KV-1号主变压器,A相,2024-07-28 00:00:00,240.8,6.87,1.9,8.51,0.0,942.8,1591.4,16.89,注意,良好
500KV-2号主变压器,A相,2024-07-28 00:00:00,46.78,7.77,15.17,12.74,0.36,673.3,3456.3,35.41,注意,良好
500KV-3号主变压器,A相,2024-07-28 00:00:00,195.55,12.85,10.95,19.51,0.4,858.4,3371.5,44.69,注意,良好
500KV-1号主变压器,A相,2024-07-29 00:00:00,21.53,8.17,22.66,13.47,2.93,396.4,2864.2,45.54,注意,良好
500KV-2号主变压器,A相,2024-07-29 00:00:00,164.8,8.19,1.24,11.13,0.34,500.4,1138.7,20.03,注意,良好
500KV-3号主变压器,A相,2024-07-29 00:00:00,159.1,2.94,20.04,7.4,0.51,612.9,1678.7,32.07,注意,良好
500KV-1号主变压器,A相,2024-07-30 00:00:00,42.2,8.0,16.62,9.27,0.63,1366.5,2084.7,35.16,注意,良好
500KV-2号主变压器,A相,2024-07-30 00:00:00,126.43,15.51,12.4,17.82,0.94,700.9,1794.3,46.85,注意,良好
500KV-3号主变压器,A相,2024-07-30 00:00:00,86.65,13.13,31.57,20.15,0.77,1225.9,2248.4,65.79,注意,良好
500KV-1号主变压器,A相,2024-07-31 00:00:00,112.69,9.57,24.63,1.64,0.28,497.9,1235.7,35.92,注意,良好
500KV-2号主变压器,A相,2024-07-31 00:00:00,152.1,14.61,6.13,0.27,0.52,592.9,3235.0,21.33,注意,良好
500KV-3号主变压器,A相,2024-07-31 00:00:00,258.54,7.47,11.23,13.44,0.67,1239.8,2763.2,32.66,注意,良好
500KV-1号主变压器,A相,2024-08-01 00:00:00,259.67,14.65,25.97,9.94,0.81,1238.4,2001.4,51.68,注意,良好
500KV-2号主变压器,A相,2024-08-01 00:00:00,94.12,6.55,4.96,4.35,0.4,842.4,2864.8,16.89,注意,一般
500KV-3号主变压器,A相,2024-08-01 00:00:00,166.57,8.66,28.62,13.23,0.03,1007.0,1349.9,50.29,注意,良好
500KV-1号主变压器,A相,2024-08-02 00:00:00,73.36,13.8,8.91,13.91,0.34,1255.7,1261.7,35.34,注意,良好
500KV-2号主变压器,A相,2024-08-02 00:00:00,205.16,13.53,7.14,9.02,0.29,1025.8,1812.0,28.82,注意,良好
500KV-3号主变压器,A相,2024-08-02 00:00:00,204.72,7.88,22.14,3.71,0.75,956.4,1102.3,33.17,注意,良好
500KV-1号主变压器,A相,2024-08-03 00:00:00,161.08,8.01,3.36,6.57,0.56,766.9,1592.3,18.09,注意,良好
500KV-2号主变压器,A相,2024-08-03 00:00:00,180.54,14.52,9.07,10.76,1.28,933.3,2722.4,36.85,注意,良好
500KV-3号主变压器,A相,2024-08-03 00:00:00,51.79,4.79,29.19,12.04,0.1,1069.4,3433.7,47.31,注意,差
500KV-1号主变压器,A相,2024-08-04 00:00:00,125.05,4.72,8.87,16.41,0.82,945.3,2098.5,30.0,注意,良好
500KV-2号主变压器,A相,2024-08-04 00:00:00,104.8,3.53,6.91,6.69,0.44,677.1,3569.1,17.12,注意,良好
500KV-3号主变压器,A相,2024-08-04 00:00:00,126.34,7.98,23.62,15.63,0.96,697.1,1623.6,48.92,注意,良好
500KV-1号主变压器,A相,2024-08-05 00:00:00,155.74,12.83,20.19,8.56,0.15,621.8,2396.0,41.38,注意,良好
500KV-2号主变压器,A相,2024-08-05 00:00:00,154.98,14.07,27.44,8.82,0.21,436.8,1161.4,50.04,注意,良好
500KV-3号主变压器,A相,2024-08-05 00:00:00,183.53,7.58,21.87,20.06,0.49,267.4,1891.4,48.75,注意,良好
500KV-1号主变压器,A相,2024-08-06 00:00:00,41.64,13.06,23.23,1.77,0.06,698.5,999.8,37.14,注意,良好
500KV-2号主变压器,A相,2024-08-06 00:00:00,111.08,9.82,27.02,10.93,0.16,1092.3,2196.4,46.47,注意,良好
500KV-3号主变压器,A相,2024-08-06 00:00:00,186.58,11.09,18.66,14.33,0.32,328.5,2079.9,45.08,注意,良好
500KV-1号主变压器,A相,2024-08-07 00:00:00,222.87,5.01,8.8,6.12,0.38,515.1,3293.2,20.15,注意,良好
500KV-2号主变压器,A相,2024-08-07 00:00:00,40.37,5.31,13.48,1.46,1.0,377.7,1206.7,21.46,注意,良好
500KV-3号主变压器,A相,2024-08-07 00:00:00,81.31,4.98,0.52,1.31,0.95,329.9,3235.9,7.55,注意,良好
500KV-1号主变压器,A相,2024-08-08 00:00:00,140.98,7.42,23.28,16.74,0.16,568.2,1083.0,47.53,注意,良好
500KV-2号主变压器,A相,2024-08-08 00:00:00,209.86,7.98,10.34,0.98,0.19,442.4,1211.2,20.35,注意,良好
500KV-3号主变压器,A相,2024-08-08 00:00:00,80.31,4.74,10.76,1.24,0.25,278.1,1401.9,17.0,注意,良好
500KV-1号主变压器,A相,2024-08-09 00:00:00,242.93,10.31,13.04,7.67,0.22,1022.4,3092.1,31.95,注意,良好
